qcd_threshold,top_threshold,signal_events_450fb,background_events_450fb,S_over_B,S_over_sqrtB,S_over_10pctB,n_signal_test_rows,n_background_test_rows,neff_signal,neff_background
0.7,0.75,68.71911330578514,242754.98855868692,0.00028308012829640384,0.13947406716309943,0.0028308012829640385,115,237,54.67762573443811,98.452665493673
0.7,0.775,59.024286983471065,207551.1838600946,0.0002843842462650464,0.12955916550026944,0.002843842462650464,105,202,47.37097481963677,81.39855986748849
0.7,0.8,54.209235909090914,172459.35403106248,0.000314330505374194,0.1305358821138979,0.0031433050537419396,92,172,43.215888974484486,65.50817992089281
0.7,0.825,45.41240694214875,137544.31189123605,0.00033016564856610625,0.12244842502458939,0.003301656485661062,77,137,36.1984102921445,47.75985716041923
0.7,0.85,38.34684851239668,92783.00681141658,0.0004132960315711417,0.1258912241319199,0.004132960315711417,68,109,30.76166620485066,60.23044419463457
0.7,0.875,32.40654376033058,60127.7892992536,0.0005389611714983318,0.1321584987402616,0.005389611714983318,57,70,25.96568441139337,39.429860139168404
0.7,0.9,16.619908471074382,29520.260021440936,0.0005630000704263151,0.09673163722223349,0.005630000704263152,34,34,13.637800253056767,20.407118736523174
0.7,0.925,12.183617933884298,16377.111765970863,0.0007439417955979268,0.09520453036811319,0.007439417955979267,26,21,10.072262533777828,13.461222619189732
0.7,0.95,0.7575210743801654,6310.995881201965,0.00012003193927546839,0.009535550513729535,0.0012003193927546836,10,7,10.000000000000002,5.052642861982923
0.725,0.5,122.46280863636365,417788.76214739855,0.0002931213563689824,0.18946362334824607,0.0029312135636898238,184,407,96.10028497125585,214.3748772042836
0.725,0.525,114.34774863636365,404291.7939587995,0.0002828347009388387,0.17983745796856507,0.0028283470093883865,178,391,90.12458084077855,208.28194929187205
0.725,0.55,110.06296231404959,377165.1686850826,0.0002918163485185124,0.17921543396040587,0.002918163485185124,172,371,86.79013308617735,196.45454708297066
0.725,0.575,104.34991388429752,351471.5480783415,0.00029689434167524243,0.17601391702517943,0.002968943416752424,164,353,82.34427431666192,185.67373379977687
0.725,0.6,101.49338966942148,326763.58513113926,0.0003106018977870174,0.177550104038718,0.003106018977870174,160,332,80.1213795448712,175.51003506589043
0.725,0.625,94.57933545454546,297317.6324002248,0.0003181087333805701,0.17345464134874425,0.0031810873338057005,153,303,74.91308221693772,159.80130214698244
0.725,0.65,90.29454913223141,271061.9567029989,0.0003331140608239859,0.17343120806737325,0.003331140608239859,147,283,71.57916992950729,150.41688913374344
0.725,0.675,85.93401070247933,248932.47191482078,0.00034521012884122267,0.17223614866353085,0.0034521012884122268,140,257,68.12881505193906,137.81459468647415
0.725,0.7,79.0199564876033,240532.88920184987,0.0003285203813491447,0.16112003674124536,0.003285203813491447,133,244,62.9231297609023,131.30973238325615
0.725,0.725,71.95439805785125,212407.1942798213,0.0003387568782772012,0.15612510132708576,0.003387568782772012,124,218,57.4853764970983,116.26045351304924
0.725,0.75,61.72930698347108,187336.75610154064,0.0003295098531011845,0.14261982637824755,0.003295098531011845,107,194,49.35705349708089,105.40323471716937
0.725,0.775,53.38699066115702,159763.61047482232,0.00033416239469356797,0.13356618076749585,0.0033416239469356793,98,167,43.047450513398836,93.37351066354219
