score_set	target_class	diagonal_target_cell	n_events	top1_exact_count	top3_count	top5_count	top1_exact_fraction	top3_fraction	top5_fraction	within_chebyshev_1_fraction	within_chebyshev_2_fraction	mean_chebyshev_distance	mean_target_rank
model1	83	False	5	0	2	2	0.0	0.4	0.4	0.4	0.4	4.0	20.4
model1	84	False	5	0	0	1	0.0	0.0	0.2	0.4	0.8	2.4	12.4
model1	85	False	5	2	3	3	0.4	0.6	0.6	0.6	0.6	2.0	8.2
model1	86	False	5	0	2	3	0.0	0.4	0.6	0.6	0.6	1.8	22.6
model1	87	False	5	1	1	2	0.2	0.2	0.4	0.6	0.8	2.4	15.6
model1	88	False	5	0	2	2	0.0	0.4	0.4	0.6	0.8	1.6	15.4
model1	89	False	5	2	3	4	0.4	0.6	0.8	0.8	1.0	0.8	4.6
model1	90	False	5	0	1	2	0.0	0.2	0.4	0.6	0.6	4.0	6.8
model1	91	True	15	1	3	3	0.06666666666666667	0.2	0.2	0.4666666666666667	0.6	3.2	29.0
model1	92	False	5	1	2	2	0.2	0.4	0.4	0.4	0.8	2.4	17.2
model1	93	False	5	0	0	2	0.0	0.0	0.4	0.2	0.8	2.0	18.8
model1	94	False	5	3	4	4	0.6	0.8	0.8	0.8	1.0	0.6	4.0
model1	95	False	5	0	0	1	0.0	0.0	0.2	0.2	0.2	4.0	11.4
model1	96	False	5	0	0	0	0.0	0.0	0.0	0.2	0.4	3.2	17.8
model1	97	False	5	1	1	3	0.2	0.2	0.6	0.2	0.6	2.8	23.8
model1	98	False	5	0	0	0	0.0	0.0	0.0	0.2	0.2	4.4	19.6
model1	99	False	5	0	1	1	0.0	0.2	0.2	0.4	0.6	2.6	15.2
model1	100	True	15	0	3	7	0.0	0.2	0.4666666666666667	0.6666666666666666	0.7333333333333333	2.3333333333333335	22.466666666666665
model1	101	False	5	1	2	3	0.2	0.4	0.6	0.4	0.4	2.6	11.0
model1	102	False	5	1	2	2	0.2	0.4	0.4	0.4	0.4	3.8	37.6
model1	103	False	5	0	0	1	0.0	0.0	0.2	0.2	0.4	2.6	31.0
model1	104	False	5	1	1	1	0.2	0.2	0.2	0.2	0.2	4.2	22.0
model1	105	False	5	0	0	0	0.0	0.0	0.0	0.0	0.2	5.4	19.6
model1	106	False	5	0	0	0	0.0	0.0	0.0	0.0	0.0	4.2	27.4
model1	107	False	5	0	1	1	0.0	0.2	0.2	0.2	0.4	3.8	23.2
model1	108	True	15	0	3	6	0.0	0.2	0.4	0.4	0.6	2.8666666666666667	29.533333333333335
model1	109	False	5	2	3	4	0.4	0.6	0.8	0.8	1.0	0.8	5.0
model1	110	False	5	0	3	3	0.0	0.6	0.6	0.6	0.6	2.6	11.4
model1	111	False	5	0	1	3	0.0	0.2	0.6	0.6	0.6	2.0	15.2
model1	112	False	5	0	1	1	0.0	0.2	0.2	0.4	0.8	2.4	15.8
model1	113	False	5	0	1	2	0.0	0.2	0.4	0.6	0.6	2.0	12.6
model1	114	False	5	0	2	2	0.0	0.4	0.4	0.4	0.4	3.8	19.2
model1	115	True	15	1	1	1	0.06666666666666667	0.06666666666666667	0.06666666666666667	0.3333333333333333	0.5333333333333333	3.6	35.266666666666666
model1	116	False	5	0	2	2	0.0	0.4	0.4	0.6	1.0	1.4	7.4
model1	117	False	5	0	0	0	0.0	0.0	0.0	0.2	0.6	3.4	22.8
model1	118	False	5	0	0	1	0.0	0.0	0.2	0.6	0.6	2.0	15.4
model1	119	False	5	0	1	4	0.0	0.2	0.8	0.8	0.8	1.4	5.8
model1	120	False	5	0	1	2	0.0	0.2	0.4	0.2	0.2	3.4	26.8
model1	121	True	15	0	2	4	0.0	0.13333333333333333	0.26666666666666666	0.7333333333333333	1.0	1.2666666666666666	10.6
model1	122	False	5	2	3	3	0.4	0.6	0.6	0.4	0.6	2.0	11.8
model1	123	False	5	0	2	3	0.0	0.4	0.6	0.6	0.8	3.2	12.8
model1	124	False	5	0	0	0	0.0	0.0	0.0	0.2	0.4	3.0	23.4
model1	125	False	5	0	1	2	0.0	0.2	0.4	0.4	0.4	3.8	28.0
