seed,auc_all,auc_vs_ttbar,auc_vs_qcd_bbbb,auc_vs_zbbbb,threshold,selected_signal_rows,selected_background_rows,selected_ttbar_rows,selected_qcd_bbbb_rows,selected_zbbbb_rows,S_over_sqrtB_rows,S_over_B_rows
102,0.762079658596678,0.6822488450395428,0.7836735981824493,0.7473436666549862,0.765,136,44,7,21,16,20.502771431287925,3.090909090909091
103,0.7736716215023969,0.6272022551092318,0.7912246747083008,0.7725078782560133,0.705,175,74,11,34,29,20.343336780168375,2.364864864864865
104,0.7834222676787646,0.6856060606060606,0.8093695650768407,0.7694899577167019,0.745,155,56,9,20,27,20.71274624821289,2.767857142857143
105,0.7705265152876669,0.6580147227387351,0.7925923865336351,0.7596070140529785,0.745,153,56,9,26,21,20.445485006300466,2.732142857142857
106,0.7646039126755133,0.6775382870107771,0.7924510387259309,0.7435331426439498,0.625,228,138,17,58,63,19.40864890129947,1.6521739130434783
107,0.7688436792351102,0.6753925457871107,0.7875540031252872,0.7599252858227796,0.78,134,34,5,16,13,22.980810409096183,3.9411764705882355
108,0.768016965601524,0.6190384668185936,0.7887124987415686,0.7635471419981767,0.785,121,38,7,15,16,19.62879195682227,3.1842105263157894
109,0.7766631485045633,0.6878083157152926,0.7943026790132184,0.7705060368557735,0.79,130,25,9,9,7,26.0,5.2
110,0.7745571527067519,0.694291754756871,0.7981405614888339,0.7581242976591814,0.77,143,43,7,18,18,21.80729555756247,3.3255813953488373
111,0.7650123680280756,0.6625138427464008,0.781653401318244,0.7599066576249551,0.585,234,154,18,75,61,18.856257358193897,1.5194805194805194
112,0.7571520532233663,0.6609259567190062,0.7750701256664737,0.7511231501057083,0.685,201,114,17,44,53,18.82537481279205,1.763157894736842
113,0.7711588041734335,0.687752258312512,0.7897334327978969,0.7626935295926152,0.79,124,39,6,16,17,19.855891071830804,3.1794871794871793
114,0.7589443553104097,0.6554947560419517,0.784954139133419,0.7470101628966019,0.66,222,141,25,58,58,18.695772647676723,1.574468085106383
115,0.763344236368211,0.6347041305780992,0.7877114567143239,0.755907225469469,0.675,200,102,17,36,49,19.80295085953349,1.9607843137254901
116,0.7869088425682366,0.6702431289640591,0.8024508890416856,0.7853019909653671,0.75,152,58,12,23,23,19.95857779467783,2.6206896551724137
117,0.7385134185752423,0.6740956072351421,0.7608164173647649,0.7202128588292006,0.785,114,40,4,18,18,18.02498266295976,2.85
118,0.7718482768085586,0.6551855766972046,0.7872384243840121,0.7688188740668674,0.78,129,35,4,15,16,21.80497977199573,3.6857142857142855
119,0.7760668036898223,0.6837116372000093,0.7918050941306755,0.7719767640934374,0.775,136,42,7,26,9,20.9852555948445,3.238095238095238
120,0.7605961487561718,0.608230828368249,0.792367460712891,0.7492739416373438,0.8,120,26,6,8,12,23.533936216582084,4.615384615384615
121,0.764228133751156,0.6613471549705608,0.7934400301021368,0.7460133451747527,0.75,136,55,9,23,23,18.338236259000183,2.4727272727272727
122,0.7650303400635884,0.6367864693446089,0.7912774156145729,0.7514902331810978,0.6950000000000001,182,89,18,34,37,19.291961416115754,2.044943820224719
123,0.748741140603403,0.647926291337144,0.7713645278789577,0.7362531144460234,0.705,172,81,13,34,34,19.11111111111111,2.123456790123457
124,0.7783231110573765,0.701823467230444,0.8024693698903731,0.7599123300424773,0.685,200,94,12,36,46,20.628424925175867,2.127659574468085
125,0.7656446569138421,0.6294635596961178,0.7899490415571564,0.7590395096689102,0.8150000000000001,106,27,8,8,11,20.399709511366776,3.925925925925926
126,0.7741290914972666,0.7038031213625674,0.7964491122780695,0.7591989070454355,0.665,193,102,12,40,50,19.109847579449816,1.892156862745098
127,0.7516852867846722,0.6255259754921079,0.7866205964701177,0.7357068157366097,0.615,233,165,28,59,78,18.139025398963486,1.412121212121212
128,0.7680806846365237,0.6645525017618041,0.7894578863571112,0.7594125722843948,0.79,119,32,6,12,14,21.036426740299788,3.71875
129,0.7628361179096235,0.6474400220608512,0.7854986507669738,0.7540734642330457,0.8,116,26,6,13,7,22.749471676029348,4.461538461538462
130,0.7656332201639703,0.7089671530964782,0.7855599910706079,0.7512208557901319,0.76,144,48,7,23,18,20.784609690826528,3.0
131,0.7643098248216684,0.6543340380549683,0.7764222996781138,0.767293085897737,0.76,148,57,11,25,21,19.60307888456265,2.5964912280701755
132,0.7824256366185125,0.6559795993984437,0.8057163506676843,0.7783718338436703,0.81,112,27,7,10,10,21.55441004974603,4.148148148148148
133,0.7641382735735922,0.6360743295871815,0.7927287353570811,0.7534500692830239,0.8150000000000001,102,26,8,8,10,20.00384578409477,3.923076923076923
134,0.77231554973189,0.642516093783405,0.7987451408306622,0.7599392026000591,0.5750000000000001,260,192,24,82,86,18.76388374866284,1.3541666666666667
135,0.7591698226650243,0.6708593143682928,0.7796179424431955,0.7466512720095488,0.75,152,51,9,21,21,21.28425727722575,2.980392156862745
136,0.7509435318644189,0.6510080957046357,0.7665308014145223,0.7469391074042238,0.67,194,129,17,61,51,17.080747582717102,1.503875968992248
137,0.761712048779372,0.6631258701593359,0.7826362717161504,0.7495403108875442,0.78,115,41,8,20,13,17.9599826171897,2.8048780487804876
138,0.7514336782874937,0.6645979676737366,0.7734128145354591,0.7405790841649806,0.74,159,68,11,30,27,19.28158219038847,2.338235294117647
139,0.7654665703801248,0.6614637218298771,0.788486804809892,0.7569532119618403,0.78,126,38,11,15,12,20.43989906247608,3.3157894736842106
140,0.7591061036300244,0.6478130748743857,0.7782176949195977,0.7518456242100349,0.79,110,36,7,14,15,18.333333333333332,3.0555555555555554
141,0.7562469161620881,0.6424590208945389,0.7776477398570423,0.7459355664604224,0.68,191,111,16,47,48,18.12891771887273,1.7207207207207207
142,0.762989697122187,0.6186882344264714,0.7881933005600459,0.7552206732088539,0.755,153,66,15,28,23,18.832998119837907,2.3181818181818183
143,0.7564968908378562,0.6136220787383578,0.7803423260810503,0.7462379155813563,0.8,100,26,7,9,10,19.611613513818405,3.8461538461538463
144,0.7918772934768046,0.6923649817413031,0.8163660866587712,0.7773859719407081,0.745,149,39,7,16,16,23.859094916957982,3.8205128205128207
145,0.7646137156039747,0.6181289640591966,0.7941771702467602,0.7548503147886418,0.79,125,38,10,13,15,20.277677641345317,3.289473684210526
146,0.7603396387947625,0.6483748809330205,0.7834791266623996,0.7513333872464638,0.795,125,33,6,11,16,21.75970699446223,3.787878787878788
147,0.7568841065120853,0.633779657035471,0.7873429396310117,0.7410625876919665,0.8150000000000001,121,42,9,17,16,18.670705345413122,2.880952380952381
148,0.767951612745114,0.6497030101681265,0.7922926252953613,0.7554629223343571,0.795,111,26,4,11,11,21.768891000338428,4.269230769230769
149,0.7966954328156297,0.6878238041028739,0.8218173035300909,0.7834159949164126,0.725,181,61,10,27,24,23.174675267854173,2.9672131147540983
