process,event_uid,score,u,n_selected_jets,HT,mHH,pT_H1,pT_H2,pt5
signal,signal|19|381,1.0,inf,5,440.5453796386719,398.26682668799106,150.24691950350476,164.16472575698722,52.660186767578125
signal,signal|23|477,1.0,inf,4,488.960693359375,688.8860841228361,182.93739755268282,200.74469231114227,0.0
signal,signal|23|462,1.0,inf,5,347.7657165527344,466.9235325121549,158.4513872724207,130.39236656189124,35.840293884277344
signal,signal|46|1460,1.0,inf,5,477.1217956542969,483.27132246616196,225.84585431034878,181.77325861262034,49.753273010253906
signal,signal|10|968,1.0,inf,5,533.4813842773438,852.0379140194309,184.74196230301916,154.92517870814467,39.37007522583008
signal,signal|121|789,1.0,inf,5,342.3519592285156,371.99474030741123,88.21471023187655,54.39395657763853,30.172834396362305
signal,signal|7|947,1.0,inf,5,489.6950988769531,547.3857741943668,220.6254682984141,202.77545118893312,47.6150016784668
signal,signal|198|927,1.0,inf,5,613.36083984375,902.803711928079,136.3479317363808,151.06005173385893,31.716163635253906
signal,signal|181|2475,1.0,inf,5,634.1846313476562,658.5966020483586,324.15829634701413,263.2250349507272,43.54930877685547
signal,signal|34|1811,1.0,inf,6,609.9158325195312,670.4758947585784,243.43668698437818,230.66719469426775,58.07008743286133
signal,signal|138|2248,1.0,inf,5,486.5483703613281,565.2612737458146,183.95612603505413,178.56036113364127,36.37479019165039
signal,signal|36|698,1.0,inf,5,480.22381591796875,457.6820769998514,232.53756842551343,143.02167834966556,39.77499771118164
signal,signal|123|876,1.0,inf,5,459.4949035644531,426.8731645133089,178.7226408989871,102.00466109869224,46.659793853759766
signal,signal|183|1733,1.0,inf,5,453.5254211425781,512.7240301908553,102.81829501171956,71.62685179155258,43.16075897216797
signal,signal|122|1469,1.0,inf,5,420.5831604003906,501.89601004707515,98.10887431566104,171.2405005021399,37.14228439331055
signal,signal|4|855,1.0,inf,6,512.9066772460938,994.6183075545243,119.48645635969191,188.35444063501316,38.41998291015625
signal,signal|31|2229,1.0,inf,5,436.973876953125,1487.561607070425,169.10127261833034,139.5023191667447,30.090967178344727
signal,signal|197|2037,1.0,inf,5,439.6872253417969,579.1039034290973,136.04667449205925,64.20114525315579,32.683311462402344
signal,signal|36|1403,1.0,inf,5,378.5041198730469,368.7284057508486,154.72938573061464,89.28473839189421,45.78760528564453
signal,signal|31|2042,1.0,inf,5,374.9144287109375,481.181842817206,137.59038715908648,113.22765964571606,41.85111999511719
signal,signal|140|2447,1.0,inf,5,397.45196533203125,378.89561570397103,71.77917919433912,136.44651072826932,32.93778991699219
signal,signal|37|1582,1.0,inf,5,456.749267578125,473.8258716283665,187.9392476517257,77.19395096705006,38.044830322265625
signal,signal|37|1901,1.0,inf,6,338.8464050292969,293.8004445032928,92.33507385111756,99.0893101402306,36.012596130371094
signal,signal|120|1227,1.0,inf,5,573.96240234375,610.4366911862992,274.9562866807279,218.68081222380928,46.67219924926758
signal,signal|31|1131,1.0,inf,5,585.0665283203125,965.9918164262609,72.02546225605623,62.06352253938836,58.322364807128906
signal,signal|141|916,1.0,inf,5,409.8014831542969,433.64667939895196,105.0451609535968,145.50237137418068,53.25358200073242
signal,signal|183|1861,1.0,inf,5,371.1842346191406,485.5663503626721,91.8742193980347,64.19409479120165,39.48002243041992
signal,signal|141|1230,1.0,inf,5,398.8681640625,390.36464539250045,41.997503740112634,91.27616573331109,46.389808654785156
signal,signal|29|403,1.0,inf,5,380.2694396972656,458.84594630611883,164.09905028083375,153.5597542848261,39.025428771972656
signal,signal|125|1072,1.0,inf,6,667.6173706054688,745.1611934383429,255.76100732990258,255.00908229875824,41.7471809387207
signal,signal|1|73,1.0,inf,6,722.5037841796875,1411.7434228769457,242.25185311664242,168.67474298733146,31.22702407836914
signal,signal|29|1684,1.0,inf,6,481.4361572265625,492.67318380312736,108.82312704314461,112.44871535851645,41.17372512817383
signal,signal|133|255,1.0,inf,5,343.22265625,334.1528189335008,117.13290681876573,118.22405071692639,35.000545501708984
signal,signal|135|306,1.0,inf,5,343.4037780761719,372.1738342140747,109.8344441006785,132.6938693519204,34.70519256591797
signal,signal|135|324,1.0,inf,5,722.1923217773438,783.0729081345884,312.2247703413293,310.56771665278643,58.71735763549805
signal,signal|3|2229,1.0,inf,5,340.8399658203125,503.56793209521317,91.0410425267388,113.14796014238567,35.76094055175781
signal,signal|30|2348,1.0,inf,5,356.05010986328125,333.14841748440176,47.524807979162155,84.07079088263849,40.64041519165039
signal,signal|130|771,1.0,inf,5,439.9046630859375,675.0828041068178,209.9484595437456,180.1804072910753,31.702817916870117
signal,signal|130|237,1.0,inf,5,619.2451782226562,544.5643034776075,321.4051165995032,174.64096170873128,67.43389129638672
signal,signal|182|2581,1.0,inf,5,369.71728515625,381.7479598022694,127.49356775742713,126.1071944559055,33.313053131103516
