seed,qcd_threshold,top_threshold,signal_events_450fb,background_events_450fb,S_over_B,S_over_sqrtB,S_over_10pctB,n_signal_test_rows,n_background_test_rows,neff_signal,neff_background
23,0.875,0.775,29.132409451058194,35594.0635319042,0.0008184625906773977,0.1544143364846276,0.008184625906773976,46,34,22.899994590287264,16.03331492368494
23,0.85,0.775,32.2267072850529,46427.0457101652,0.0006941365058254583,0.1495651496475916,0.006941365058254582,53,46,25.46691080064849,23.374170010012556
24,0.875,0.75,34.173026199229504,38011.605294199835,0.0008990156015442984,0.17527716253148723,0.008990156015442985,51,37,28.218940208732587,17.304270575525504
24,0.85,0.75,37.2193095090809,48511.37354599426,0.0007672285237150169,0.168984365810404,0.0076722852371501685,59,53,30.977386388222314,24.872720686847394
24,0.8,0.5,97.39172289378097,218967.1247410239,0.00044477783141632694,0.2081289967942856,0.0044477783141632695,134,206,79.63861343430344,102.2963781113659
24,0.825,0.525,75.16471676004406,149513.52366083715,0.000502728548693367,0.19438994050548233,0.00502728548693367,112,145,62.056210389753254,71.12929413711818
24,0.8,0.775,48.04946809631261,60832.69774745784,0.0007898625225497346,0.19481394733880444,0.007898625225497346,74,82,39.83814955198902,43.56641564843423
24,0.825,0.775,36.25409859328565,46435.40199594722,0.0007807426453732397,0.16824125784522678,0.007807426453732396,62,61,30.49865632259929,31.835350131638226
24,0.875,0.775,27.673179402861866,22587.33615928651,0.0012251634813290886,0.18413084699923224,0.012251634813290885,45,29,23.112774400014704,15.02068689389493
24,0.85,0.775,30.63975832140892,32998.598640264034,0.0009285169547782881,0.1686698997798283,0.009285169547782881,52,44,25.74676934627227,24.157631452538826
25,0.875,0.75,20.29675580598987,42858.16849261402,0.0004735796353380738,0.09804147190422334,0.0047357963533807374,35,35,16.436252518295515,19.29236963340256
25,0.85,0.75,26.24923483483815,56612.496252222474,0.00046366503108945077,0.11032158576529584,0.004636650310894507,47,54,21.373705901536624,26.287596803392407
25,0.8,0.5,86.5566418008148,221891.1798548178,0.00039008599556525115,0.1837512824163567,0.003900859955652511,128,182,68.6945288711182,99.66878699812068
25,0.825,0.525,75.11190156738606,161384.24638840315,0.0004654227611945121,0.18697269486762824,0.004654227611945121,110,137,59.54229132803787,72.0966493410159
25,0.8,0.775,36.282558281766136,87221.04253502905,0.00041598400142023773,0.12285342394826472,0.004159840014202377,63,84,29.41066460383607,47.03177091113098
25,0.825,0.775,31.81819901012993,67762.40561875996,0.0004695553341058053,0.12223094970933737,0.004695553341058052,54,64,25.708158682780056,33.566872132153975
25,0.875,0.775,16.139208417198862,37573.46141242357,0.00042953743973831685,0.08326100085229995,0.004295374397383168,30,31,13.216763487876689,17.075799580578597
25,0.85,0.775,22.091687446047125,50610.79621742424,0.00043650147986491105,0.09819905428726208,0.00436501479864911,42,48,18.155832108861723,23.50302721077835
26,0.875,0.75,22.69612186200066,40534.0963001201,0.0005599266773818123,0.11273049322895176,0.005599266773818123,40,40,18.93176954336037,22.283790591143912
26,0.85,0.75,33.80814832948168,66138.50854594866,0.000511171918943319,0.1314601690912556,0.00511171918943319,57,62,28.01799586000219,33.51593576690249
26,0.8,0.5,94.01949512380324,260905.92819156527,0.0003603578338579229,0.18406700302669482,0.0036035783385792285,139,217,76.56955020579062,88.20164594880755
26,0.825,0.525,81.2922656536811,206655.7769172822,0.0003933704001230018,0.1788238548602895,0.003933704001230018,117,171,65.98911953813814,74.88942977907209
26,0.8,0.775,46.61405595411026,106600.83330379365,0.00043727665637723854,0.14276987962380178,0.004372766563772385,80,101,38.73000111900852,60.90864376438715
26,0.825,0.775,42.16183771871906,88717.11523306166,0.0004752390517653675,0.14155194021322828,0.004752390517653675,70,83,34.86496659090342,50.040193412981395
26,0.875,0.775,22.61744370749422,39101.22873163157,0.000578433068247737,0.11437953208352601,0.0057843306824773705,39,38,18.805017963776212,21.25945236136661
26,0.85,0.775,32.35030163585343,59125.45380315459,0.0005471467795165981,0.13304271252664587,0.00547146779516598,54,54,26.77178641590853,28.7838625955585
27,0.875,0.75,22.855698291515353,27470.459141817457,0.0008320100575502507,0.13789913288659525,0.008320100575502505,41,29,19.032689782620853,13.916279131917697
27,0.85,0.75,28.550037383624964,44745.92046565601,0.0006380478284168514,0.13496773449177338,0.0063804782841685136,51,51,23.759317049022577,27.096896348163607
27,0.8,0.5,79.98263337405085,207721.06239122644,0.0003850482587240469,0.1754912354188725,0.003850482587240469,112,188,64.44316592407733,71.15016273639486
