replica	category_id	selected_structure_id	threshold_variable	threshold_value	supporting_outer_fold_count	supporting_outer_folds_json	is_nominal_structure
499	ge4tag	radial_mass__category__plus_mhh_and_abs_h_delta_eta	mhh	165.32778054129497	2	[0,4]	True
499	ge4tag	radial_mass__category__plus_mhh_and_abs_h_delta_eta	r_hh_125_125	34.428577665560425	2	[0,4]	True
518	exact3tag	radial_mass__category__plus_ht_candidate_jets	ht_candidate_jets	203.7694454193115	2	[0,4]	True
518	exact3tag	radial_mass__category__plus_ht_candidate_jets	r_hh_125_125	43.00612135940712	2	[0,4]	True
527	ge4tag	radial_mass__category__plus_mhh_and_abs_h_delta_eta	abs_h_delta_eta	6.843111765508832	2	[0,2]	True
527	ge4tag	radial_mass__category__plus_mhh_and_abs_h_delta_eta	mhh	213.14965902293278	2	[0,2]	True
527	ge4tag	radial_mass__category__plus_mhh_and_abs_h_delta_eta	r_hh_125_125	33.60697335136507	2	[0,2]	True
530	exact3tag	radial_mass__category__plus_ht_candidate_jets	ht_candidate_jets	177.95726394653317	3	[1,2,3]	True
530	exact3tag	radial_mass__category__plus_ht_candidate_jets	r_hh_125_125	36.879131164009834	3	[1,2,3]	True
533	ge4tag	radial_mass__category__plus_mhh_and_abs_h_delta_eta	abs_h_delta_eta	6.904302164473993	2	[0,2]	True
533	ge4tag	radial_mass__category__plus_mhh_and_abs_h_delta_eta	mhh	164.73708096689654	2	[0,2]	True
533	ge4tag	radial_mass__category__plus_mhh_and_abs_h_delta_eta	r_hh_125_125	33.72220931192237	2	[0,2]	True
535	exact3tag	radial_mass__category__plus_ht_candidate_jets	ht_candidate_jets	182.48499315977094	2	[1,3]	True
535	exact3tag	radial_mass__category__plus_ht_candidate_jets	r_hh_125_125	36.59051997381695	2	[1,3]	True
539	exact3tag	radial_mass__category__plus_ht_candidate_jets	ht_candidate_jets	181.20520827174184	2	[1,4]	True
539	exact3tag	radial_mass__category__plus_ht_candidate_jets	r_hh_125_125	36.47340873562479	2	[1,4]	True
549	exact3tag	radial_mass__category__plus_ht_candidate_jets	ht_candidate_jets	181.11843490600583	2	[1,3]	True
