model	false_positive_rate	true_positive_rate	threshold	weighting
bdt	0.1983115752304668	0.5953677324935164	0.6905828714370728	development_hierarchical_weight
bdt	0.200172386684221	0.5973804728812828	0.6884168386459351	development_hierarchical_weight
bdt	0.20112912957831375	0.5998186156305644	0.6864858865737915	development_hierarchical_weight
bdt	0.20205969984794536	0.6023803844658936	0.6843044757843018	development_hierarchical_weight
bdt	0.2056133081462179	0.6048780031797075	0.6826073527336121	development_hierarchical_weight
bdt	0.20659393586412148	0.6079886013381451	0.680550754070282	development_hierarchical_weight
bdt	0.20827748934278356	0.6108347171619235	0.6789586544036865	development_hierarchical_weight
bdt	0.20944917266748211	0.6132694300406069	0.6770839691162109	development_hierarchical_weight
bdt	0.2110715726517747	0.615495034531728	0.6753847599029541	development_hierarchical_weight
bdt	0.21474142633634408	0.6175396360639634	0.6733289957046509	development_hierarchical_weight
bdt	0.21797208792550066	0.6197733134440674	0.6710871458053589	development_hierarchical_weight
bdt	0.2202398250963376	0.6222305214108542	0.6694462895393372	development_hierarchical_weight
bdt	0.22167796640486617	0.6248003567147673	0.6672161221504211	development_hierarchical_weight
bdt	0.2225430251507907	0.6275933531429595	0.6651160717010498	development_hierarchical_weight
bdt	0.22999263520466842	0.6295805565322301	0.6632605195045471	development_hierarchical_weight
