evaluation_stage	strategy	category	trial_id	fold	training_rows	heldout_rows	training_members	heldout_members	fit_weight_mean	weighted_roc_auc	raw_roc_auc	weighted_average_precision	raw_average_precision	training_time_seconds	member_leakage	fit_status	failure_reason
primary_hyperparameter_search	categorized_cms_inspired_mass_aware	high_mhh	4	1	23436	5726	225	55	1.0000000000000002	0.8495259674208023	0.8222943722943723	0.856954898343034	0.5314388624978558	0.3220818639965728	0	pass	none
primary_hyperparameter_search	categorized_cms_inspired_mass_aware	high_mhh	4	2	23553	5609	223	57	1.0	0.7855861405349522	0.8116015249948034	0.7163662561486338	0.43296638199420334	0.5964217280270532	0	pass	none
primary_hyperparameter_search	categorized_cms_inspired_mass_aware	high_mhh	4	3	22688	6474	218	62	1.0	0.7357481514089921	0.8277297813294534	0.6658989489769391	0.5191461530089148	0.597394946962595	0	pass	none
primary_hyperparameter_search	categorized_cms_inspired_mass_aware	high_mhh	4	4	23687	5475	229	51	0.9999999999999997	0.7797212379422531	0.8088500443371242	0.7272574044528053	0.38350371821891216	0.9539704109774902	0	pass	none
primary_hyperparameter_search	categorized_cms_inspired_mass_aware	high_mhh	5	0	23284	5878	225	55	1.0	0.8144783878616759	0.826337427104308	0.8301485300063827	0.5217745593983247	0.48446060298010707	0	pass	none
primary_hyperparameter_search	categorized_cms_inspired_mass_aware	high_mhh	5	1	23436	5726	225	55	1.0000000000000002	0.8514657179378167	0.8220882729054643	0.8589182641772662	0.5353698744727491	0.4357581260846928	0	pass	none
primary_hyperparameter_search	categorized_cms_inspired_mass_aware	high_mhh	5	2	23553	5609	223	57	1.0	0.7872361114941434	0.811395723283721	0.7258397679458929	0.4348045276973133	0.3865826550172642	0	pass	none
primary_hyperparameter_search	categorized_cms_inspired_mass_aware	high_mhh	5	3	22688	6474	218	62	1.0	0.7308805634420686	0.8283903351422014	0.6720450080484568	0.5268488117655806	0.6077786780660972	0	pass	none
primary_hyperparameter_search	categorized_cms_inspired_mass_aware	high_mhh	5	4	23687	5475	229	51	0.9999999999999997	0.7819904188088518	0.8103986797577194	0.7315923731049668	0.3791211982385323	0.3240888280561194	0	pass	none
primary_hyperparameter_search	categorized_cms_inspired_mass_aware	high_mhh	6	0	23284	5878	225	55	1.0	0.8321971582974154	0.8347695894458809	0.8490453856555404	0.5324711563525988	0.5672705910401419	0	pass	none
primary_hyperparameter_search	categorized_cms_inspired_mass_aware	high_mhh	6	1	23436	5726	225	55	1.0000000000000002	0.8424149165858278	0.8220128035806001	0.8530212119872062	0.5480800768483856	0.5698851250344887	0	pass	none
primary_hyperparameter_search	categorized_cms_inspired_mass_aware	high_mhh	6	2	23553	5609	223	57	1.0	0.8081125529307367	0.8266201007644771	0.7430028427176097	0.45240178767320915	0.7775367790600285	0	pass	none
primary_hyperparameter_search	categorized_cms_inspired_mass_aware	high_mhh	6	3	22688	6474	218	62	1.0	0.7212835909751598	0.8355878790452574	0.6687311202722086	0.532113676988415	0.6585747140925378	0	pass	none
primary_hyperparameter_search	categorized_cms_inspired_mass_aware	high_mhh	6	4	23687	5475	229	51	0.9999999999999997	0.7832261056981169	0.8038339589466073	0.7448595299144155	0.38925026414478076	0.4844944180222228	0	pass	none
primary_hyperparameter_search	categorized_cms_inspired_mass_aware	high_mhh	7	0	23284	5878	225	55	1.0	0.8398918713348436	0.8377929816329319	0.8490458937582109	0.5358213016258173	0.6443152599968016	0	pass	none
