evaluation_stage	variant	trial_id	fold	training_members	heldout_members	training_rows	heldout_rows	training_weight_rescale_factor	weighted_roc_auc	raw_roc_auc	weighted_average_precision	raw_average_precision	training_time_seconds	prediction_time_seconds	member_leakage	fit_status	failure_reason
hyperparameter_search	mass_aware	22	4	238	52	46338	10988	0.9763888110014965	0.7526056670491309	0.7840369978695155	0.7393087901207916	0.4251537491967277	1.690046455943957	0.013937855954281986	0	pass	none
hyperparameter_search	mass_aware	23	0	232	58	45559	11767	0.9989684781992881	0.7713028211540881	0.8178855967050258	0.8165342631819978	0.5491464331195143	1.4224378269864246	0.011633906979113817	0	pass	none
hyperparameter_search	mass_aware	23	1	232	58	45504	11822	1.0026857730649654	0.7890234503975329	0.8101918814774949	0.8175612349450466	0.5410574896508383	1.3766004339559004	0.012453931965865195	0	pass	none
hyperparameter_search	mass_aware	23	2	231	59	46147	11179	0.9785203482756778	0.7840418608715929	0.8183056892598591	0.7653384320399912	0.4834138314508192	1.4437008709646761	0.011388608952984214	0	pass	none
hyperparameter_search	mass_aware	23	3	227	63	45756	11570	1.047112520024319	0.7443606313233817	0.8254134778809499	0.7242368164735884	0.5629021281200697	1.3927137160208076	0.011954799992963672	0	pass	none
hyperparameter_search	mass_aware	23	4	238	52	46338	10988	0.9763888110014965	0.7549834421951074	0.7845182866582272	0.7431176477921412	0.42703611520114326	1.5215868769446388	0.010496995993889868	0	pass	none
hyperparameter_search	explicit_dijet_mass_plane_blind	0	0	232	58	45559	11767	0.9989684781992881	0.724921143841603	0.7849567116094447	0.7681663923664888	0.4748976444023473	0.5596043069381267	0.004877954954281449	0	pass	none
hyperparameter_search	explicit_dijet_mass_plane_blind	0	1	232	58	45504	11822	1.0026857730649654	0.7343423484746195	0.7680779336300881	0.758194231865616	0.45839671307409746	0.5707162580220029	0.005051036016084254	0	pass	none
hyperparameter_search	explicit_dijet_mass_plane_blind	0	2	231	59	46147	11179	0.9785203482756778	0.7273896331367065	0.7754216475435143	0.6849811139982072	0.38525672719981774	0.7820677739800885	0.005680005997419357	0	pass	none
hyperparameter_search	explicit_dijet_mass_plane_blind	0	3	227	63	45756	11570	1.047112520024319	0.7087704634111918	0.791674580616664	0.6775105285886488	0.48091220099440796	0.6923884489806369	0.005473052035085857	0	pass	none
hyperparameter_search	explicit_dijet_mass_plane_blind	0	4	238	52	46338	10988	0.9763888110014965	0.7176792010620086	0.7491078917981494	0.6822948514478397	0.36402881079552174	0.5631852659862489	0.005373540916480124	0	pass	none
hyperparameter_search	explicit_dijet_mass_plane_blind	1	0	232	58	45559	11767	0.9989684781992881	0.7025200637823193	0.7425604176635411	0.718690047714958	0.39842470992486007	0.33144750888459384	0.0029301950708031654	0	pass	none
