index_source	index_ordinal	sample_class	process_or_mode	campaign	member_name	member_type	size_bytes	content_opened	content_extracted	status
scaleout	13	background	tchannel_antitop	unified_background_5m_single_top_pilot50k_20260722_v1	./root/tchannel_antitop_run2_frozen_v2_single_top_pilot_shard4202_10kevt_delphes.root	regular_file	793981335	False	False	payload_identified_and_protected
scaleout	13	background	tchannel_antitop	unified_background_5m_single_top_pilot50k_20260722_v1	./parquet/tchannel_antitop_run2_frozen_v2_single_top_pilot_shard4202_10kevt_event_summary.parquet	regular_file	247442	False	False	payload_identified_and_protected
scaleout	13	background	tchannel_antitop	unified_background_5m_single_top_pilot50k_20260722_v1	./parquet/tchannel_antitop_run2_frozen_v2_single_top_pilot_shard4202_10kevt_hh4b_candidates_v2.parquet	regular_file	51839	False	False	payload_identified_and_protected
scaleout	13	background	tchannel_antitop	unified_background_5m_single_top_pilot50k_20260722_v1	./source/unweighted_events.lhe.gz	regular_file	10598737	False	False	payload_identified_and_protected
scaleout	14	background	tchannel_antitop	unified_background_5m_single_top_scaleout280k_20260722_v1	./root/tchannel_antitop_run2_frozen_v2_single_top_scaleout_shard4308_10kevt_delphes.root	regular_file	787745787	False	False	payload_identified_and_protected
scaleout	14	background	tchannel_antitop	unified_background_5m_single_top_scaleout280k_20260722_v1	./source/unweighted_events.lhe.gz	regular_file	10599608	False	False	payload_identified_and_protected
scaleout	14	background	tchannel_antitop	unified_background_5m_single_top_scaleout280k_20260722_v1	./parquet/tchannel_antitop_run2_frozen_v2_single_top_scaleout_shard4308_10kevt_event_summary.parquet	regular_file	247641	False	False	payload_identified_and_protected
scaleout	14	background	tchannel_antitop	unified_background_5m_single_top_scaleout280k_20260722_v1	./parquet/tchannel_antitop_run2_frozen_v2_single_top_scaleout_shard4308_10kevt_hh4b_candidates_v2.parquet	regular_file	49064	False	False	payload_identified_and_protected
scaleout	15	background	tchannel_top	unified_background_5m_single_top_pilot50k_20260722_v1	./root/tchannel_top_run2_frozen_v2_single_top_pilot_shard4201_10kevt_delphes.root	regular_file	804174352	False	False	payload_identified_and_protected
scaleout	15	background	tchannel_top	unified_background_5m_single_top_pilot50k_20260722_v1	./parquet/tchannel_top_run2_frozen_v2_single_top_pilot_shard4201_10kevt_event_summary.parquet	regular_file	247009	False	False	payload_identified_and_protected
scaleout	15	background	tchannel_top	unified_background_5m_single_top_pilot50k_20260722_v1	./parquet/tchannel_top_run2_frozen_v2_single_top_pilot_shard4201_10kevt_hh4b_candidates_v2.parquet	regular_file	51396	False	False	payload_identified_and_protected
scaleout	15	background	tchannel_top	unified_background_5m_single_top_pilot50k_20260722_v1	./source/unweighted_events.lhe.gz	regular_file	10478990	False	False	payload_identified_and_protected
scaleout	16	background	tchannel_top	unified_background_5m_single_top_scaleout280k_20260722_v1	./root/tchannel_top_run2_frozen_v2_single_top_scaleout_shard4301_10kevt_delphes.root	regular_file	803366850	False	False	payload_identified_and_protected
scaleout	16	background	tchannel_top	unified_background_5m_single_top_scaleout280k_20260722_v1	./parquet/tchannel_top_run2_frozen_v2_single_top_scaleout_shard4301_10kevt_event_summary.parquet	regular_file	246773	False	False	payload_identified_and_protected
scaleout	16	background	tchannel_top	unified_background_5m_single_top_scaleout280k_20260722_v1	./parquet/tchannel_top_run2_frozen_v2_single_top_scaleout_shard4301_10kevt_hh4b_candidates_v2.parquet	regular_file	51376	False	False	payload_identified_and_protected
scaleout	16	background	tchannel_top	unified_background_5m_single_top_scaleout280k_20260722_v1	./source/unweighted_events.lhe.gz	regular_file	10466939	False	False	payload_identified_and_protected
scaleout	17	background	ttbar_inclusive	unified_background_5m_wavea_pilots_20260720_retry1	./root/ttbar_inclusive_run2_frozen_v2_unified5m_pilot_shard000_10k_delphes.root	regular_file	919109343	False	False	payload_identified_and_protected
scaleout	17	background	ttbar_inclusive	unified_background_5m_wavea_pilots_20260720_retry1	./parquet/ttbar_inclusive_run2_frozen_v2_unified5m_pilot_shard000_10k_event_summary.parquet	regular_file	249931	False	False	payload_identified_and_protected
scaleout	17	background	ttbar_inclusive	unified_background_5m_wavea_pilots_20260720_retry1	./parquet/ttbar_inclusive_run2_frozen_v2_unified5m_pilot_shard000_10k_hh4b_candidates_v2.parquet	regular_file	62551	False	False	payload_identified_and_protected
scaleout	17	background	ttbar_inclusive	unified_background_5m_wavea_pilots_20260720_retry1	./source/unweighted_events.lhe.gz	regular_file	10805111	False	False	payload_identified_and_protected
scaleout	18	background	tth_hbb	unified_background_5m_waveb_priority_pilots10k_20260721_v1	./parquet/tth_hbb_run2_frozen_v2_waveb_pilot_shard1001_10000evt_hh4b_candidates_v2.parquet	regular_file	500295	False	False	payload_identified_and_protected
scaleout	18	background	tth_hbb	unified_background_5m_waveb_priority_pilots10k_20260721_v1	./parquet/tth_hbb_run2_frozen_v2_waveb_pilot_shard1001_10000evt_event_summary.parquet	regular_file	249798	False	False	payload_identified_and_protected
scaleout	18	background	tth_hbb	unified_background_5m_waveb_priority_pilots10k_20260721_v1	./root/tth_hbb_run2_frozen_v2_waveb_pilot_shard1001_10000evt_delphes.root	regular_file	1028053629	False	False	payload_identified_and_protected
scaleout	18	background	tth_hbb	unified_background_5m_waveb_priority_pilots10k_20260721_v1	./source/unweighted_events.lhe.gz	regular_file	12434977	False	False	payload_identified_and_protected
scaleout	19	background	tth_hbb	unified_background_5m_waveb_priority_scale400k_20260721_v1	./source/unweighted_events.lhe.gz	regular_file	12438579	False	False	payload_identified_and_protected
scaleout	19	background	tth_hbb	unified_background_5m_waveb_priority_scale400k_20260721_v1	./root/tth_hbb_run2_frozen_v2_waveb_scale400k_shard2006_10000evt_delphes.root	regular_file	1028072249	False	False	payload_identified_and_protected
scaleout	19	background	tth_hbb	unified_background_5m_waveb_priority_scale400k_20260721_v1	./parquet/tth_hbb_run2_frozen_v2_waveb_scale400k_shard2006_10000evt_event_summary.parquet	regular_file	250051	False	False	payload_identified_and_protected
scaleout	19	background	tth_hbb	unified_background_5m_waveb_priority_scale400k_20260721_v1	./parquet/tth_hbb_run2_frozen_v2_waveb_scale400k_shard2006_10000evt_hh4b_candidates_v2.parquet	regular_file	521403	False	False	payload_identified_and_protected
scaleout	20	background	tttt	unified_background_5m_waveb_priority_pilots10k_20260721_v1	./root/tttt_run2_frozen_v2_waveb_pilot_shard1003_10000evt_delphes.root	regular_file	1185025946	False	False	payload_identified_and_protected
scaleout	20	background	tttt	unified_background_5m_waveb_priority_pilots10k_20260721_v1	./parquet/tttt_run2_frozen_v2_waveb_pilot_shard1003_10000evt_event_summary.parquet	regular_file	254590	False	False	payload_identified_and_protected
scaleout	20	background	tttt	unified_background_5m_waveb_priority_pilots10k_20260721_v1	./parquet/tttt_run2_frozen_v2_waveb_pilot_shard1003_10000evt_hh4b_candidates_v2.parquet	regular_file	753341	False	False	payload_identified_and_protected
scaleout	20	background	tttt	unified_background_5m_waveb_priority_pilots10k_20260721_v1	./source/unweighted_events.lhe.gz	regular_file	12309459	False	False	payload_identified_and_protected
scaleout	21	background	tttt	unified_background_5m_waveb_priority_scale400k_20260721_v1	./source/unweighted_events.lhe.gz	regular_file	12307679	False	False	payload_identified_and_protected
scaleout	21	background	tttt	unified_background_5m_waveb_priority_scale400k_20260721_v1	./parquet/tttt_run2_frozen_v2_waveb_scale400k_shard2201_10000evt_hh4b_candidates_v2.parquet	regular_file	815931	False	False	payload_identified_and_protected
scaleout	21	background	tttt	unified_background_5m_waveb_priority_scale400k_20260721_v1	./parquet/tttt_run2_frozen_v2_waveb_scale400k_shard2201_10000evt_event_summary.parquet	regular_file	254772	False	False	payload_identified_and_protected
scaleout	21	background	tttt	unified_background_5m_waveb_priority_scale400k_20260721_v1	./root/tttt_run2_frozen_v2_waveb_scale400k_shard2201_10000evt_delphes.root	regular_file	1185191178	False	False	payload_identified_and_protected
scaleout	22	background	ttw	unified_background_5m_wavec1_pilot40k_20260721_v1	./parquet/ttw_run2_frozen_v2_wavec1_pilot_shard3202_10kevt_event_summary.parquet	regular_file	250788	False	False	payload_identified_and_protected
scaleout	22	background	ttw	unified_background_5m_wavec1_pilot40k_20260721_v1	./parquet/ttw_run2_frozen_v2_wavec1_pilot_shard3202_10kevt_hh4b_candidates_v2.parquet	regular_file	66696	False	False	payload_identified_and_protected
scaleout	22	background	ttw	unified_background_5m_wavec1_pilot40k_20260721_v1	./source/unweighted_events.lhe.gz	regular_file	11481213	False	False	payload_identified_and_protected
scaleout	22	background	ttw	unified_background_5m_wavec1_pilot40k_20260721_v1	./root/ttw_run2_frozen_v2_wavec1_pilot_shard3202_10kevt_delphes.root	regular_file	914550907	False	False	payload_identified_and_protected
scaleout	23	background	ttw	unified_background_5m_wavec1_scaleout180k_20260721_v2	./root/ttw_run2_frozen_v2_wavec1_scaleout_shard3401_10kevt_delphes.root	regular_file	910657729	False	False	payload_identified_and_protected
scaleout	23	background	ttw	unified_background_5m_wavec1_scaleout180k_20260721_v2	./parquet/ttw_run2_frozen_v2_wavec1_scaleout_shard3401_10kevt_event_summary.parquet	regular_file	250774	False	False	payload_identified_and_protected
scaleout	23	background	ttw	unified_background_5m_wavec1_scaleout180k_20260721_v2	./parquet/ttw_run2_frozen_v2_wavec1_scaleout_shard3401_10kevt_hh4b_candidates_v2.parquet	regular_file	73883	False	False	payload_identified_and_protected
scaleout	23	background	ttw	unified_background_5m_wavec1_scaleout180k_20260721_v2	./source/unweighted_events.lhe.gz	regular_file	11487970	False	False	payload_identified_and_protected
scaleout	24	background	ttz_zbb	unified_background_5m_waveb_priority_scale400k_20260721_v1	./source/unweighted_events.lhe.gz	regular_file	12870497	False	False	payload_identified_and_protected
scaleout	24	background	ttz_zbb	unified_background_5m_waveb_priority_scale400k_20260721_v1	./root/ttz_zbb_run2_frozen_v2_waveb_scale400k_shard2103_10000evt_delphes.root	regular_file	1013578562	False	False	payload_identified_and_protected
scaleout	24	background	ttz_zbb	unified_background_5m_waveb_priority_scale400k_20260721_v1	./parquet/ttz_zbb_run2_frozen_v2_waveb_scale400k_shard2103_10000evt_event_summary.parquet	regular_file	251324	False	False	payload_identified_and_protected
scaleout	24	background	ttz_zbb	unified_background_5m_waveb_priority_scale400k_20260721_v1	./parquet/ttz_zbb_run2_frozen_v2_waveb_scale400k_shard2103_10000evt_hh4b_candidates_v2.parquet	regular_file	456296	False	False	payload_identified_and_protected
scaleout	25	background	tw_antitop	unified_background_5m_single_top_pilot50k_20260722_v1	./root/tw_antitop_run2_frozen_v2_single_top_pilot_shard4205_10kevt_delphes.root	regular_file	862364589	False	False	payload_identified_and_protected
scaleout	25	background	tw_antitop	unified_background_5m_single_top_pilot50k_20260722_v1	./parquet/tw_antitop_run2_frozen_v2_single_top_pilot_shard4205_10kevt_event_summary.parquet	regular_file	249589	False	False	payload_identified_and_protected
scaleout	25	background	tw_antitop	unified_background_5m_single_top_pilot50k_20260722_v1	./parquet/tw_antitop_run2_frozen_v2_single_top_pilot_shard4205_10kevt_hh4b_candidates_v2.parquet	regular_file	55896	False	False	payload_identified_and_protected
scaleout	25	background	tw_antitop	unified_background_5m_single_top_pilot50k_20260722_v1	./source/unweighted_events.lhe.gz	regular_file	10693232	False	False	payload_identified_and_protected
scaleout	26	background	tw_antitop	unified_background_5m_single_top_scaleout280k_20260722_v1	./root/tw_antitop_run2_frozen_v2_single_top_scaleout_shard4323_10kevt_delphes.root	regular_file	866908252	False	False	payload_identified_and_protected
