index_source	index_ordinal	sample_class	process_or_mode	campaign	member_index	member_name	member_type	size_bytes	safe_relative_path	event_payload	nested_archive	artifact_types	allowlist_candidate	content_opened	content_extracted	status
canary	5	background	qcd_hardqcd	qcd_hardqcd_importance_adaptive500k_phys_20260717_0022	6	./logs/qcd_hardqcd_importance_adaptive500k_phys_20260717_0022_bin00_pthat50to75_shard1819_seed1201819_pythia.log	regular_file	12762	True	False	False	generator_stdout_or_summary,importance_sampling_record,parton_shower_card	True	False	False	archive_header_indexed_only
canary	5	background	qcd_hardqcd	qcd_hardqcd_importance_adaptive500k_phys_20260717_0022	7	./logs/qcd_hardqcd_importance_adaptive500k_phys_20260717_0022_bin00_pthat50to75_shard1819_seed1201819_candidates.log	regular_file	266	True	False	False	candidate_or_event_summary_log,importance_sampling_record	True	False	False	archive_header_indexed_only
canary	5	background	qcd_hardqcd	qcd_hardqcd_importance_adaptive500k_phys_20260717_0022	8	./logs/qcd_hardqcd_importance_adaptive500k_phys_20260717_0022_bin00_pthat50to75_shard1819_seed1201819_event_summary.log	regular_file	1151	True	False	False	candidate_or_event_summary_log,generator_stdout_or_summary,importance_sampling_record	True	False	False	archive_header_indexed_only
canary	5	background	qcd_hardqcd	qcd_hardqcd_importance_adaptive500k_phys_20260717_0022	9	./logs/qcd_hardqcd_importance_adaptive500k_phys_20260717_0022_bin00_pthat50to75_shard1819_seed1201819_delphes.log	regular_file	8328	True	False	False	delphes_log_or_configuration,importance_sampling_record	True	False	False	archive_header_indexed_only
canary	5	background	qcd_hardqcd	qcd_hardqcd_importance_adaptive500k_phys_20260717_0022	10	./logs/qcd_hardqcd_importance_adaptive500k_phys_20260717_0022_bin00_pthat50to75_shard1819_seed1201819_compile_arguments.txt	regular_file	1201	True	False	False	generation_provenance_metadata,importance_sampling_record	True	False	False	archive_header_indexed_only
canary	5	background	qcd_hardqcd	qcd_hardqcd_importance_adaptive500k_phys_20260717_0022	11	./metadata	directory	0	True	False	False	none	False	False	False	archive_header_indexed_only
canary	5	background	qcd_hardqcd	qcd_hardqcd_importance_adaptive500k_phys_20260717_0022	12	./metadata/qcd_hardqcd_importance_adaptive500k_phys_20260717_0022_bin00_pthat50to75_shard1819_seed1201819_provenance.json	regular_file	2116	True	False	False	generation_provenance_metadata,importance_sampling_record	True	False	False	archive_header_indexed_only
canary	5	background	qcd_hardqcd	qcd_hardqcd_importance_adaptive500k_phys_20260717_0022	13	./metadata/qcd_hardqcd_importance_adaptive500k_phys_20260717_0022_bin00_pthat50to75_shard1819_seed1201819_generator.json	regular_file	736	True	False	False	generation_provenance_metadata,importance_sampling_record	True	False	False	archive_header_indexed_only
canary	5	background	qcd_hardqcd	qcd_hardqcd_importance_adaptive500k_phys_20260717_0022	14	./hepmc	directory	0	True	False	False	none	False	False	False	archive_header_indexed_only
canary	5	background	qcd_hardqcd	qcd_hardqcd_importance_adaptive500k_phys_20260717_0022	15	./hepmc/qcd_hardqcd_importance_adaptive500k_phys_20260717_0022_bin00_pthat50to75_shard1819_seed1201819.hepmc	regular_file	2456006502	True	True	False	importance_sampling_record	False	False	False	archive_header_indexed_only
canary	5	background	qcd_hardqcd	qcd_hardqcd_importance_adaptive500k_phys_20260717_0022	16	./root	directory	0	True	False	False	none	False	False	False	archive_header_indexed_only
canary	5	background	qcd_hardqcd	qcd_hardqcd_importance_adaptive500k_phys_20260717_0022	17	./root/qcd_hardqcd_importance_adaptive500k_phys_20260717_0022_bin00_pthat50to75_shard1819_seed1201819_delphes.root	regular_file	788155996	True	True	False	importance_sampling_record	False	False	False	archive_header_indexed_only
canary	6	background	ttz_zbb	unified_background_5m_waveb_priority_pilots10k_20260721_v1	1	.	directory	0	True	False	False	none	False	False	False	archive_header_indexed_only
canary	6	background	ttz_zbb	unified_background_5m_waveb_priority_pilots10k_20260721_v1	2	./root	directory	0	True	False	False	none	False	False	False	archive_header_indexed_only
canary	6	background	ttz_zbb	unified_background_5m_waveb_priority_pilots10k_20260721_v1	3	./root/ttz_zbb_run2_frozen_v2_waveb_pilot_shard1002_10000evt_delphes.root	regular_file	1010039021	True	True	False	none	False	False	False	archive_header_indexed_only
canary	6	background	ttz_zbb	unified_background_5m_waveb_priority_pilots10k_20260721_v1	4	./parquet	directory	0	True	False	False	none	False	False	False	archive_header_indexed_only
canary	6	background	ttz_zbb	unified_background_5m_waveb_priority_pilots10k_20260721_v1	5	./parquet/ttz_zbb_run2_frozen_v2_waveb_pilot_shard1002_10000evt_event_summary.parquet	regular_file	249963	True	True	False	generator_stdout_or_summary	False	False	False	archive_header_indexed_only
canary	6	background	ttz_zbb	unified_background_5m_waveb_priority_pilots10k_20260721_v1	6	./parquet/ttz_zbb_run2_frozen_v2_waveb_pilot_shard1002_10000evt_hh4b_candidates_v2.parquet	regular_file	468374	True	True	False	none	False	False	False	archive_header_indexed_only
canary	6	background	ttz_zbb	unified_background_5m_waveb_priority_pilots10k_20260721_v1	7	./metadata	directory	0	True	False	False	none	False	False	False	archive_header_indexed_only
canary	6	background	ttz_zbb	unified_background_5m_waveb_priority_pilots10k_20260721_v1	8	./metadata/generation_banner.txt	regular_file	19838	True	False	False	generator_banner_or_lhe_init	True	False	False	archive_header_indexed_only
canary	6	background	ttz_zbb	unified_background_5m_waveb_priority_pilots10k_20260721_v1	9	./metadata/ttz_zbb_run2_frozen_v2_waveb_pilot_shard1002_10000evt_provenance.json	regular_file	1465	True	False	False	generation_provenance_metadata	True	False	False	archive_header_indexed_only
canary	6	background	ttz_zbb	unified_background_5m_waveb_priority_pilots10k_20260721_v1	10	./logs	directory	0	True	False	False	none	False	False	False	archive_header_indexed_only
canary	6	background	ttz_zbb	unified_background_5m_waveb_priority_pilots10k_20260721_v1	11	./logs/ttz_zbb_run2_frozen_v2_waveb_pilot_shard1002_10000evt_mg5.log	regular_file	5233	True	False	False	generator_stdout_or_summary	True	False	False	archive_header_indexed_only
