index_source	index_ordinal	sample_class	process_or_mode	campaign	representative_locator	expected_size_bytes	copied_size_bytes	bundle_sha256	archive_members	regular_file_members	event_payload_members	provenance_named_members	allowlist_candidate_members	unsafe_member_names	temporary_copy_removed	event_payload_content_opened	event_payload_extracted	status
scaleout	35	background	wwz_zbb	final_background_triboson_zbb_pilot10k_20260722_v1	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/final_background_triboson_zbb_pilot10k_20260722_v1/wwz_zbb_run2_frozen_v2_pilot_validation_shard9601_5200_bundle.tar.gz	474353085	474353085	b7a6d98bbae1e7bf05a372abe096330ddc5435c5c1d11bdb1e68de97b65dbec6	24	17	4	12	11	0	True	False	False	bundle_index_scaleout_pass
scaleout	36	background	wwz_zbb	final_background_triboson_zbb_scaleout40k_20260722_v1	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/final_background_triboson_zbb_scaleout40k_20260722_v1/wwz_zbb_run2_frozen_v2_train_shard9901_5200_bundle.tar.gz	472106981	472106981	975fe361b082fb12ebc655daa6b5b737da3a30c65e7cd565cd0674e7f4d8bc42	24	17	4	12	11	0	True	False	False	bundle_index_scaleout_pass
scaleout	37	background	wz_zbb	unified_background_5m_wavec1_pilot40k_20260721_v1	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavec1_pilot40k_20260721_v1/wz_zbb_run2_frozen_v2_wavec1_pilot_shard3203_10kevt_bundle.tar.gz	754415624	754415624	fdb790505a6191b395f46051b09bd2207fc6904b13667f43ea5562d2284be8fd	23	16	4	12	11	0	True	False	False	bundle_index_scaleout_pass
scaleout	38	background	wz_zbb	unified_background_5m_wavec1_scaleout180k_20260721_v2	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavec1_scaleout180k_20260721_v2/wz_zbb_run2_frozen_v2_wavec1_scaleout_shard3501_10kevt_bundle.tar.gz	760265475	760265475	b6bfc71bfe1444c7c8048e2bedbb23dace59f56af2d074c55f2afa6e65d7e3e3	23	16	4	12	11	0	True	False	False	bundle_index_scaleout_pass
scaleout	39	background	wzz_zbb	final_background_triboson_zbb_pilot10k_20260722_v1	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/final_background_triboson_zbb_pilot10k_20260722_v1/wzz_zbb_run2_frozen_v2_pilot_validation_shard9602_3300_bundle.tar.gz	291219832	291219832	91ca4c2ff62b87985db8b5aeceb98eaa553dcbda214fd8d487f9050132ec34d7	24	17	4	12	11	0	True	False	False	bundle_index_scaleout_pass
scaleout	40	background	wzz_zbb	final_background_triboson_zbb_scaleout40k_20260722_v1	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/final_background_triboson_zbb_scaleout40k_20260722_v1/wzz_zbb_run2_frozen_v2_train_shard9911_3300_bundle.tar.gz	291764214	291764214	ad68a0d5a944394f35ba92c6025a0d3a66416dee2ee38db69d39183ffe91fb01	24	17	4	12	11	0	True	False	False	bundle_index_scaleout_pass
scaleout	41	background	zbbbb	unified_background_5m_wavea_pilots_20260720_retry1	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavea_pilots_20260720_retry1/zbbbb_run2_frozen_v2_unified5m_pilot_shard000_10k_bundle.tar.gz	846981639	846981639	ec24daa44530a8eb9081da20eedcae378e46f618fc735392f6844d781b98affe	23	16	4	12	11	0	True	False	False	bundle_index_scaleout_pass
scaleout	42	background	zbbbb	unified_background_5m_wavea_proven111_20260720_v1	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavea_proven111_20260720_v1/zbbbb_run2_frozen_v2_unified5m_wavea_shard001_10k_bundle.tar.gz	850787671	850787671	26f02f41f04bca1bdd090393112f48f431c8893031fe3911d72d556055c0c2a7	23	16	4	12	11	0	True	False	False	bundle_index_scaleout_pass
scaleout	43	background	zbbbb	unified_background_5m_wavea_zbbbb_remaining15_20260721_v1	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavea_zbbbb_remaining15_20260721_v1/zbbbb_run2_frozen_v2_unified5m_wavea_shard010_10k_bundle.tar.gz	854468021	854468021	4d1c07ef7d24524c0539dafc349b3276fb06366b3b0c9c55e117255e32ff59fb	23	16	4	12	11	0	True	False	False	bundle_index_scaleout_pass
scaleout	44	background	zzz_zbb	final_background_triboson_zbb_pilot10k_20260722_v1	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/final_background_triboson_zbb_pilot10k_20260722_v1/zzz_zbb_run2_frozen_v2_pilot_validation_shard9603_1500_bundle.tar.gz	130964009	130964009	e93ec374582c137bf20a861db3f17906c724426a29ea33df6c82f02a8140f9eb	24	17	4	12	11	0	True	False	False	bundle_index_scaleout_pass
scaleout	45	background	zzz_zbb	final_background_triboson_zbb_scaleout40k_20260722_v1	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/final_background_triboson_zbb_scaleout40k_20260722_v1/zzz_zbb_run2_frozen_v2_train_shard9921_1500_bundle.tar.gz	131197947	131197947	aa4fce800d71bd13a075841ddc4009f8e96d9fd148c67628b0a2d57cb1b50ff0	24	17	4	12	11	0	True	False	False	bundle_index_scaleout_pass
scaleout	46	signal	ggf_hh4b	ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1/HH4b_ggf_ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1_shard020_seed86020_bundle.tar.gz	185982525	185982525	06ad7ac4f8344c79acb3f305cffda565ff419cc0ab423e8c8737b793ffd83606	7	3	1	2	1	0	True	False	False	bundle_index_scaleout_pass
scaleout	47	signal	vbf_hh4b	vbf_hh4b_sm_scaleout90k_20260722_v1	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/vbf_hh4b_sm_scaleout90k_20260722_v1/vbf_hh4b_sm_run2_frozen_v2_train_shard9401_10k_bundle.tar.gz	879313063	879313063	b6258e0bcb2c4e830ae3fa7efb5ba4c19c4c7f2c442c3b0264bb3489f3af44b9	23	16	4	12	11	0	True	False	False	bundle_index_scaleout_pass
