sample	selected_order_index	root_event_entry	p_signal	fit_success	p1_x_mean_gev	p1_y_mean_gev	p1_physical	p1_in_target_region	p2_amp	p2_x_mean_gev	p2_y_mean_gev	p2_valid	p2_physical	p2_in_target_region	bg_amp	reasons
ZH	79	450	0.9970865845680237	True	81.74483906105901	121.9748736990972	True	True	0.0044729624494154714	78.24930432772805	147.27223175410109	True	True	False	0.0003951030741957487	one_or_more_parameters_at_bound
ZH	82	473	0.9992174506187439	True	89.75029934367357	125.8903711356329	True	True	0.0024216135996965194	132.58353488980546	124.21439028531243	True	True	False	0.00043793684953805404	one_or_more_parameters_at_bound
ZH	83	477	0.9997780919075012	True	102.87734161664706	124.949048373203	True	True	0.004056422043998699	110.61528285033832	142.44223793699564	True	True	False	3.199651204415079e-05	one_or_more_parameters_at_bound
ZH	84	480	0.999226450920105	True	92.02904651066238	129.20733775683937	True	True	0.0019013016459507274	155.30612541537934	99.32068858657613	True	True	False	0.0003551323078595071	one_or_more_parameters_at_bound
ZH	85	481	0.9999340176582336	True	83.85816303034673	128.43645718471686	True	True	0.0	500.0	500.0	False	False	False	0.00011605334752105807	secondary_invalid_or_sentinel,one_or_more_parameters_at_bound
ZH	88	515	0.9998122453689575	True	83.64976723707885	136.42547583654198	True	True	0.005182546285686747	193.84052665632163	151.09234763419795	True	True	False	0.0023914936602617183	one_or_more_parameters_at_bound
ZH	89	519	0.9999226331710815	True	93.85792126103712	126.15870811680888	True	True	0.0	500.0	500.0	False	False	False	4.265037567581877e-05	secondary_invalid_or_sentinel
ZH	90	520	0.998406708240509	True	106.88865796679264	98.79397323073913	True	False	0.009971727547067917	73.78114883642405	98.07442278029134	True	True	False	0.001148967267160237	one_or_more_parameters_at_bound
ZH	92	531	0.9985547661781311	True	130.0304266723019	127.93184242078615	True	False	0.027086487203121276	87.28831203546922	125.84946436725495	True	True	True	0.001248804815756752	one_or_more_parameters_at_bound
ZH	94	533	0.9994575381278992	True	80.27153962926499	117.34230314710595	True	True	0.020242537128250575	213.19160508143725	117.82488528080228	True	False	False	0.0016127930757069125	secondary_nonphysical,one_or_more_parameters_at_bound
ZH	95	540	0.9990805387496948	True	81.56932185717339	116.65935305437878	True	True	0.06798755776390705	188.32107554499484	79.56019075204533	True	True	False	0.000987224168389622	one_or_more_parameters_at_bound
ZH	98	551	0.999711811542511	True	63.987637623352356	116.44862827784713	True	False	0.0	500.0	500.0	False	False	False	0.00019931319277638706	secondary_invalid_or_sentinel
