comparison	model	reference_model	metric	nominal_difference	bootstrap_mean	bootstrap_median	bootstrap_standard_deviation	bootstrap_p16	bootstrap_p84	bootstrap_p2p5	bootstrap_p97p5	valid_replicas	invalid_replicas	invalid_reason_counts_json	fraction_valid_difference_greater_than_zero	interval_includes_zero_68	interval_includes_zero_95
mass_plane_blind_scan_n6_n6_minus_inclusive_bdt	mass_plane_blind_scan_n6_n6	inclusive_bdt	signal_over_background	-6.489461867041391e-05	-6.721004383045661e-05	-6.544089930181861e-05	1.598972678541276e-05	-8.232487791546669e-05	-5.1429540555402074e-05	-0.00010608114880316962	-4.212778719230475e-05	1000	0	{}	0.0	False	False
mass_plane_blind_scan_n6_n6_minus_inclusive_bdt	mass_plane_blind_scan_n6_n6	inclusive_bdt	background_neff	189.8878304132847	189.72898380090012	188.37875499331284	21.475943220289384	169.68486233067676	209.76757036954777	150.83110962854892	236.44254120943054	1000	0	{}	1.0	False	False
mass_plane_blind_outer_selected_minus_inclusive_bdt	mass_plane_blind_outer_selected	inclusive_bdt	combined_nominal_asimov_ZA	0.0030438279186909	0.005868661167225577	0.005961910008412476	0.006639138619421275	-0.0008035316538388709	0.012186213804450747	-0.007110371370416504	0.018375546718453668	1000	0	{}	0.804	True	True
mass_plane_blind_outer_selected_minus_inclusive_bdt	mass_plane_blind_outer_selected	inclusive_bdt	combined_systematic_aware_asimov_ZA	0.05540926769914763	0.05961163123201336	0.059092746160226084	0.0068301874612385505	0.052950945266556845	0.06638163032965214	0.04771850669573888	0.07540340630403676	865	135	"{""model or reference metric undefined"":135}"	1.0	False	False
mass_plane_blind_outer_selected_minus_inclusive_bdt	mass_plane_blind_outer_selected	inclusive_bdt	signal_over_background	-6.489461867041391e-05	-6.721004383045661e-05	-6.544089930181861e-05	1.598972678541276e-05	-8.232487791546669e-05	-5.1429540555402074e-05	-0.00010608114880316962	-4.212778719230475e-05	1000	0	{}	0.0	False	False
mass_plane_blind_outer_selected_minus_inclusive_bdt	mass_plane_blind_outer_selected	inclusive_bdt	background_neff	189.8878304132847	189.72898380090012	188.37875499331284	21.475943220289384	169.68486233067676	209.76757036954777	150.83110962854892	236.44254120943054	1000	0	{}	1.0	False	False
mass_plane_blind_selected_minus_mass_aware_selected	mass_plane_blind_selected	mass_aware_selected	combined_nominal_asimov_ZA	-0.0004441350401173383	-0.0005000820757868094	-0.00022616058716320303	0.008549811282658379	-0.008942475837972247	0.008008948136957279	-0.01778975590401711	0.014587398537994128	1000	0	{}	0.49	True	True
mass_plane_blind_selected_minus_mass_aware_selected	mass_plane_blind_selected	mass_aware_selected	combined_systematic_aware_asimov_ZA	0.00024574019516193646	0.000359958375114105	0.0005285690898691534	0.010606985535546027	-0.010293940902433097	0.010865340793040837	-0.02119709810700569	0.019588764614539726	1000	0	{}	0.523	True	True
mass_plane_blind_selected_minus_mass_aware_selected	mass_plane_blind_selected	mass_aware_selected	signal_over_background	-6.776263578034403e-21	-1.5805634795765245e-21	0.0	3.9176015928363774e-21	-6.776263578034403e-21	3.3881317890172014e-21	-1.0164395367051604e-20	6.776263578034403e-21	1000	0	{}	0.184	True	True
mass_plane_blind_selected_minus_mass_aware_selected	mass_plane_blind_selected	mass_aware_selected	background_neff	0.0	4.6895820560166614e-15	0.0	7.782190123086515e-14	-5.684341886080802e-14	8.526512829121202e-14	-1.428190898877801e-13	1.7053025658242404e-13	1000	0	{}	0.4	True	True
