signal_precut_yield	background_precut_yield	signal_postcut_yield	background_postcut_yield	signal_postcut_sumw2	background_postcut_sumw2	signal_precut_rows	background_precut_rows	signal_postcut_rows	background_postcut_rows	signal_physical_efficiency	background_physical_efficiency	signal_raw_efficiency	background_raw_efficiency	signal_over_background	signal_over_sqrt_background	asimov_significance_stat_only	signal_effective_events	background_effective_events	signal_mc_relative_uncertainty	background_mc_relative_uncertainty	replica
757.1009192483724	63250149785.151215	418.9303888763149	19941987632.479736	5.508469519007415	2.126090225440659e+16	90880	988385	47697	494661	0.5533349362357355	0.31528759536884726	0.5248349471830986	0.5004740055747507	2.100745405106953e-08	0.002966590786562224	0.0029665907695358112	31860.514089889115	18704.891541070414	0.005602393512448261	0.007311767998627845	49
752.8298738807629	62267516977.19236	416.493294552995	20442018838.26315	5.470594612712882	2.2436504468788356e+16	90270	964444	47507	493058	0.5532369383882358	0.32829346392197956	0.5262767253794173	0.5112354890486125	2.0374371917386525e-08	0.0029130378103142318	0.0029130378120365377	31708.92319538648	18624.83234700027	0.005615769230522165	0.007327466033652326	50
754.707136435744	65176643802.236435	416.2590812919331	20844909383.26919	5.466080886211656	2.3046503911574116e+16	90659	936306	47523	483844	0.5515504772590335	0.31982176692801617	0.5241950606117429	0.5167584101778692	1.9969339930354232e-08	0.0028831266176523656	0.002883126625829311	31699.42530398457	18853.62955109603	0.005616610475608633	0.007282869285969153	51
759.9399459575767	62069194470.06579	420.5842152004418	20304869958.42006	5.531092685226293	2.3361320824080372e+16	90792	940444	47921	484948	0.5534440154616121	0.3271328093070794	0.5278108203365935	0.5156585612753125	2.0713465097866002e-08	0.0029515684749413687	0.0029515684705324996	31981.218204542605	17648.30623803478	0.005591811188577675	0.007527460485662511	52
755.5101900793816	60598290997.45644	416.3993914315411	20177642752.422924	5.465047129388665	2.3650478255413396e+16	90812	939449	47695	485692	0.5511499340436294	0.3329737921696482	0.5252059199224772	0.5169966650664379	2.0636671812496038e-08	0.0029313985713129817	0.0029313985578000457	31726.79925341348	17214.758308374378	0.005614186941045514	0.007621659368929108	53
754.0218030585306	63079949718.00935	419.5216224773666	20091770618.21064	5.520743550883002	2.32060869315544e+16	90660	942324	47682	486626	0.5563786362352726	0.3185127874709518	0.5259430840502978	0.5164104915082286	2.0880271353343218e-08	0.002959683313451327	0.0029596832994724523	31879.472412351493	17395.40353207463	0.005600727428128753	0.007581981948395323	54
755.7036849903869	60967260430.85392	416.91844856859933	19911214381.70061	5.478904274527343	2.1587934191013628e+16	90829	974975	47480	492696	0.551695667031057	0.3265886352935759	0.5227405344108159	0.5053421882612374	2.0938875980953124e-08	0.0029546241197061403	0.0029546241137064586	31725.50277342509	18364.72423188475	0.005614301653280525	0.007379174735428615	55
759.0278058152169	61638002460.68311	419.970179681547	19977460278.043907	5.522272445580404	2.290283449143406e+16	91178	962694	47822	489412	0.5533001247964656	0.32410946949143726	0.5244905569325934	0.5083775322168831	2.102220071202506e-08	0.002971312405374216	0.0029713123922467796	31938.835607958394	17425.743495203184	0.00559552010442551	0.007575378578230272	56
755.4404781904788	62162342423.8183	414.9941752055438	20429756025.476383	5.451842737036605	2.306670722233798e+16	90842	934901	47433	485208	0.5493406657260244	0.3286516438873523	0.5221483454789635	0.5189939897379509	2.0313222276763187e-08	0.002903423655705832	0.0029034236513001805	31589.349466111213	18094.257114266376	0.0056263877496219245	0.007434120929158569	57
754.2908753996712	64610572845.270065	416.70037487147886	21254956231.907505	5.472490513124775	2.2731914088877816e+16	90674	933654	47650	485762	0.5524398987998954	0.3289702489220928	0.5255089661865584	0.5202805321885838	1.9604856877848412e-08	0.0028582076919463225	0.0028582076486526795	31729.46613641246	19873.96057604078	0.005613950997990806	0.00709345451070209	58
750.0379016092216	64278207444.807945	413.36183205666265	20602344879.52971	5.430736717472902	2.231342689396715e+16	90239	947707	47189	488412	0.5511212582321325	0.3205183482632084	0.5229335431465331	0.5153618154134136	2.0063824505111307e-08	0.002879864450889342	0.0028798644417679167	31463.13531486222	19022.475415905017	0.00563766156264183	0.00725047541458263	59
756.9812713309034	59136260616.36219	416.2256848383309	19083506483.943707	5.466011345320495	2.23100558666855e+16	90907	957709	47574	488112	0.5498493828077602	0.3227039769684653	0.5233260364988395	0.5096662973826078	2.181075501970934e-08	0.0030130045544140126	0.003013004546803635	31694.742248834384	16323.590666867569	0.005617025401290689	0.007826942658233011	60
756.8941000368347	63560102965.03877	419.28667936848535	20763595511.00451	5.504439871187169	2.228391194068737e+16	91062	946504	47941	488200	0.5539568604750393	0.3266765556126541	0.5264654850541389	0.5157928545468377	2.0193356162532995e-08	0.002909777525979194	0.0029097775145311084	31938.094267516288	19347.002433510246	0.005595585045076661	0.0071894084348672685	61
752.6403815323446	59803177704.74207	412.7003477170842	19860071434.178005	5.416442831449927	2.2469718069900076e+16	90433	958767	47244	489886	0.5483367061395821	0.3320905710434047	0.5224199130848253	0.5109541734331698	2.078040600633749e-08	0.0029284946277085204	0.002928494640391547	31445.282874001798	17553.510735811702	0.0056392616712995485	0.007547758664622449	62
753.4863104089972	60381668282.25172	417.1023662223826	20301698443.411095	5.4837888742766605	2.3086877630287144e+16	90336	916679	47478	481858	0.5535632969840909	0.3362228805688443	0.5255712008501594	0.5256562002620329	2.0545195634001397e-08	0.0029273622449986865	0.0029273622289092533	31725.2155210404	17852.520652099727	0.005614327070253447	0.007484283465234584	63
752.051695181887	56599084176.16148	416.4167445965522	19031066789.847763	5.465261270110086	2.260785956785002e+16	90491	941940	47639	484244	0.5537076071557022	0.3362433697798825	0.5264501442132367	0.5140921927086651	2.188089344621985e-08	0.0030185377946513946	0.0030185377763316027	31728.200466598613	16020.158921842129	0.005614062969948734	0.007900718530684105	64
755.8181746497814	59785598816.19846	417.9813505473062	19633754379.652832	5.493058554807821	2.231326650525992e+16	90595	948837	47655	486648	0.5530183906215056	0.32840273859284674	0.526022407417628	0.5128889366666772	2.1288916142318422e-08	0.002983013563639059	0.002983013552780078	31805.306217323294	17276.014291751784	0.005607253741142683	0.007608135218708222	65
756.8730357304764	65791355199.74249	420.27002769839	21257124569.15093	5.526418912169318	2.3178317912760784e+16	90843	935984	47862	486630	0.5552715024294361	0.32309905312961434	0.526865030877448	0.5199127335510009	1.97707844412927e-08	0.0028825454245789404	0.002882545401836784	31960.461012586013	19495.17418171343	0.005593626735894201	0.007162035017783995	66
753.9307761524274	63424032993.03429	417.48934538376767	20346740578.79015	5.487453653483231	2.128643674666005e+16	90703	984133	47578	494971	0.5537502362144731	0.3208049002658785	0.5245471483853896	0.5029513287330066	2.0518733394525458e-08	0.002926833198695219	0.0029268331968889754	31762.883937676517	19448.527581561666	0.005610996995604768	0.00717061881673046	67
