sample,version,event,mbb1,mbb2,mbb_avg,mass_distance_hh,in_hh_window_90_150
vbf_hh4b_smoke1000,AK4AK8,210,187.15861503609804,324.017193391779,255.58790421393854,261.1758084278771,False
vbf_hh4b_smoke1000,AK4AK8,215,91.77934173006163,93.2638270333991,92.52158438173036,64.95683123653927,True
vbf_hh4b_smoke1000,AK4AK8,217,103.67977478693443,114.44665897237189,109.06321687965317,31.873566240693677,True
vbf_hh4b_smoke1000,AK4AK8,219,76.47270645173379,107.47656913107728,91.97463779140554,66.05072441718893,False
vbf_hh4b_smoke1000,AK4AK8,233,109.24450678572315,118.48665133176763,113.8655790587454,22.26884188250922,True
vbf_hh4b_smoke1000,AK4AK8,237,109.21177124664229,197.6317108682593,153.4217410574508,88.419939621617,False
vbf_hh4b_smoke1000,AK4AK8,252,108.1029194018657,119.3079985141655,113.70545895801561,22.58908208396879,True
vbf_hh4b_smoke1000,AK4AK8,260,96.65432359576717,117.91394204234922,107.28413281905819,35.43173436188361,True
vbf_hh4b_smoke1000,AK4AK8,264,106.86144660068437,108.40146491176795,107.63145575622616,34.73708848754768,True
vbf_hh4b_smoke1000,AK4AK8,283,65.33803527594345,126.4632239633284,95.90062961963594,61.12518868738495,False
vbf_hh4b_smoke1000,AK4AK8,293,98.48268616403594,151.4707753719449,124.97673076799043,52.98808920790897,False
vbf_hh4b_smoke1000,AK4AK8,297,24.514980873749618,126.6423535583565,75.57866721605306,102.12737268460688,False
vbf_hh4b_smoke1000,AK4AK8,300,129.27505950428701,135.18527750278557,132.23016850353628,14.460337007072582,True
vbf_hh4b_smoke1000,AK4AK8,302,81.62968663050631,198.401194607939,140.01544061922266,116.77150797743269,False
vbf_hh4b_smoke1000,AK4AK8,303,119.85796484810405,126.9143545374377,123.38615969277087,7.056389689333656,True
vbf_hh4b_smoke1000,AK4AK8,313,85.91874991010403,94.65172116699397,90.28523553854899,69.42952892290201,False
vbf_hh4b_smoke1000,AK4AK8,324,95.53510133050516,108.20537280233874,101.87023706642195,46.2595258671561,True
vbf_hh4b_smoke1000,AK4AK8,331,111.75426863915402,137.85862619953622,124.80644741934512,26.104357560382198,True
vbf_hh4b_smoke1000,AK4AK8,336,79.74634892717636,114.08886266496899,96.91760579607268,56.16478840785466,False
vbf_hh4b_smoke1000,AK4AK8,355,100.85503030403468,104.22446006851999,102.53974518627734,44.92050962744533,True
vbf_hh4b_smoke1000,AK4AK8,366,105.14473301933202,108.12373925591335,106.63423613762268,36.73152772475463,True
vbf_hh4b_smoke1000,AK4AK8,382,100.88697316738275,128.18786153118884,114.53741734928579,27.300888363806095,True
vbf_hh4b_smoke1000,AK4AK8,398,94.21893728369695,122.3778523119215,108.29839479780922,33.403210404381554,True
vbf_hh4b_smoke1000,AK4AK8,418,122.90184717854991,464.5461712497314,293.72400921414066,341.6443240711815,False
vbf_hh4b_smoke1000,AK4AK8,431,83.61942609588537,92.41450538719246,88.01696574153891,73.96606851692216,False
vbf_hh4b_smoke1000,AK4AK8,440,81.7075654950997,117.48912219384506,99.59834384447238,50.80331231105524,False
vbf_hh4b_smoke1000,AK4AK8,442,97.4502286248666,121.0710308437726,109.2606297343196,31.4787405313608,True
vbf_hh4b_smoke1000,AK4AK8,445,109.07494967608814,116.21934219230567,112.64714593419691,24.705708131606187,True
vbf_hh4b_smoke1000,AK4AK8,449,100.75261812560437,185.31608627438217,143.03435219999326,84.5634681487778,False
vbf_hh4b_smoke1000,AK4AK8,463,117.97997811690847,155.25978435183913,136.6198812343738,37.27980623493066,False
vbf_hh4b_smoke1000,AK4AK8,465,115.71347938973676,234.18992702899683,174.9517032093668,118.47644763926007,False
vbf_hh4b_smoke1000,AK4AK8,466,74.52374761663829,199.05889552363723,136.79132157013777,124.53514790699894,False
vbf_hh4b_smoke1000,AK4AK8,469,133.48214325212604,160.56631741876345,147.02423033544474,44.04846067088948,False
