sample_class	process_or_mode	btag_bin	rows	yield	sumw2	negative_rows	neff
background	zzz_zbb	0	397	76.65848033767244	14.953344563834277	1	392.9905167767015
background	zzz_zbb	1	955	184.92758347697435	35.96106289723271	1	950.9788748003039
background	zzz_zbb	2	599	116.24323291177689	22.558630104558564	0	598.9942268281201
background	zzz_zbb	3	158	30.653392790384842	5.947081559021702	0	157.99858808665593
background	zzz_zbb	ge4	45	8.730831973669664	1.6939607568364772	0	44.9995235396182
signal	ggf_hh4b	0	1584	22.81707003606942	0.3286768714899119	0	1583.9833288874308
signal	ggf_hh4b	1	8597	123.84670864814397	1.7841306311023537	0	8596.908194721944
signal	ggf_hh4b	2	16863	242.9381978346077	3.499946715952502	0	16862.818996107235
signal	ggf_hh4b	3	14403	207.49957063201109	2.989414014654904	0	14402.846712230767
signal	ggf_hh4b	ge4	4893	70.49097416936434	1.01553862259579	0	4892.947770558371
signal	vbf_hh4b	0	1615	3.1790483229621516	0.006257868041002034	0	1614.9826384178918
signal	vbf_hh4b	1	8516	16.762551215007512	0.032995092324526965	0	8515.906561864065
signal	vbf_hh4b	2	16450	32.37816262823977	0.06372991461902876	0	16449.81672182757
signal	vbf_hh4b	3	13273	26.126278734188553	0.05142694995316471	0	13272.854818692356
signal	vbf_hh4b	ge4	4444	8.746394351233324	0.017214287911036387	0	4443.948802450379
