qcd_threshold,top_threshold,signal_events_450fb,background_events_450fb,S_over_B,S_over_sqrtB,S_over_sqrtB_10pct_syst,n_signal_test_rows,n_background_test_rows,neff_background_rows
0.575,0.75,37.31216968027218,433569.1825556042,8.605816829586818e-05,0.0566658360727948,0.0008604824562515,28,306,67.62323961945928
0.575,0.775,36.96349168307711,380853.7089279703,9.705430409781804e-05,0.0598954586118725,0.0009704156492875,26,277,57.676242984773424
0.575,0.8,33.49223125823529,349005.5135916906,9.59647626009101e-05,0.0566928039672702,0.0009595101723854,23,244,50.26992328212744
0.575,0.825,30.36964883058856,309071.2795452321,9.826098651183152e-05,0.0546273892302343,0.0009824509419908,22,213,42.06917634965184
0.575,0.85,27.07272740434431,278384.37119635066,9.72494514975818e-05,0.0513108944632232,0.0009723198944344,20,184,34.871339543721504
0.575,0.875,14.582397693757358,251374.7331114669,5.801059443508628e-05,0.0290849369692233,0.0005799905920808,16,158,28.98434094557095
0.575,0.9,14.233719696562291,209811.6341223592,6.784046917179716e-05,0.0310744625420076,0.0006782430795447,14,121,20.824695444958056
0.575,0.925,10.93679827031802,172268.52869115915,6.348691983040834e-05,0.0263504010403832,0.0006346850111702,12,88,14.44991761450353
0.575,0.95,7.116859848281146,91128.07892411057,7.809733215387882e-05,0.0235755756549827,0.0007805451707628,7,53,8.209754858977504
0.6,0.5,74.45000036194685,634499.5751901334,0.0001173365645511,0.0934650056079787,0.0011732731925754,55,531,115.99646596385384
0.6,0.525,71.15307893570258,605175.6127366308,0.0001175742667718,0.0914645892377121,0.0011756455391367,53,508,108.37124680789998
0.6,0.55,70.80440093850751,576028.5141505407,0.0001229182222739,0.0932906806306802,0.0012290755420656,51,479,99.51861618362167
0.6,0.575,64.3848970846165,555495.7838919221,0.0001159052848853,0.0863860511825135,0.0011589485369564,48,449,94.57022938666168
0.6,0.6,60.739297661177154,536726.5325003813,0.0001131661916883,0.0829073881034874,0.0011315565090327,44,426,89.03774436055245
0.6,0.625,56.91935923914027,511476.7891458474,0.0001112843445627,0.0795878984887635,0.0011127346742894,39,401,82.97494121535702
0.6,0.65,50.49985538524927,487132.8168512779,0.0001036675289332,0.0723546489126552,0.0010365688998966,36,374,77.2193404466025
0.6,0.675,47.202933959005,456365.3562739233,0.0001034323340062,0.0698735259688724,0.0010342100368314,34,350,70.9438616361578
0.6,0.7,47.202933959005,438663.82222742913,0.0001076061702998,0.071269397010548,0.0010759390717599,34,319,66.04481520384347
0.6,0.725,43.73167353416318,407506.771612436,0.0001073152069623,0.0685060113868141,0.0010730204209403,31,294,59.81867831142965
0.6,0.75,34.01524825402791,384311.29555782216,8.850962396162539e-05,0.0548696348805543,0.0008849811085289,26,260,54.66903370024301
0.6,0.775,33.66657025683285,337180.0912867682,9.984744392337145e-05,0.0579786252494086,0.0009983264096753,24,236,46.48648701734188
0.6,0.8,30.19530983199103,307591.0644522808,9.816705789473768e-05,0.054444326870911,0.0009815110438704,21,206,40.14261285413789
0.6,0.825,27.07272740434431,269794.2909070287,0.0001003458127795,0.0521213472153947,0.0010032722122113,20,178,32.97185184341028
0.6,0.85,23.77580597810004,244729.072543156,9.71515387650046e-05,0.0480609627051998,0.0009713169605185,18,154,27.62114985836881
0.6,0.875,14.408058695159829,223134.09640652104,6.457130007110269e-05,0.0305015914576145,0.0006455683576343,15,132,23.31982221626209
0.6,0.9,14.059380697964755,185713.73163992367,7.570458346733447e-05,0.0326245238976464,0.0007568420963083,13,100,16.622215582743944
0.6,0.925,10.762459271720486,151824.4631008571,7.088751741259889e-05,0.0276210792516598,0.0007086418371612,11,70,11.406948352562486
0.6,0.95,6.942520849683612,77784.65908131546,8.925308578425414e-05,0.0248925974730598,0.0008919576913527,6,40,6.10876416455971
0.625,0.5,74.27566136334931,563207.4991251357,0.000131879744994,0.0989719924011918,0.0013186803863483,54,455,94.35988800699712
0.625,0.525,70.97873993710505,537574.7941921954,0.0001320350967045,0.0968074624786957,0.0013202281779193,52,435,88.20273859152024
0.625,0.55,70.63006193990998,508879.1723080535,0.0001387953482544,0.0990107269147138,0.0013878171290606,50,408,80.14395745652375
0.625,0.575,64.21055808601895,489042.3674165714,0.0001312985589065,0.0918191360407862,0.0013128513691742,47,381,75.68168925408986
0.625,0.6,60.56495866257963,474171.40158235264,0.0001277279870959,0.0879536256132785,0.0012771452067986,43,362,71.63525544867126
0.625,0.625,56.745020240542736,449433.98893006,0.0001262588536653,0.0846437310542633,0.0012624480957975,38,339,66.09173051610532
0.625,0.65,50.325516386651735,427081.3031002298,0.0001178359156004,0.0770074886065432,0.0011782212253277,35,314,61.21894644071507
0.625,0.675,47.02859496040747,399967.67941500864,0.0001175809881168,0.0743617419456424,0.0011756629206129,33,293,56.16919432796483
0.625,0.7,47.02859496040747,386164.43092583626,0.0001217838599159,0.0756790844335724,0.0012176809458356,33,266,52.65654158126398
0.625,0.725,43.55733453556565,355007.38031084323,0.0001226941662379,0.0731042464183145,0.0012267688937862,30,241,46.77292935720776
0.625,0.75,33.840909255430375,338923.71960423305,9.984815844387336e-05,0.0581287576782865,0.0009983343152114,25,218,43.68593062317617
0.625,0.775,33.49223125823529,291792.51533317915,0.0001147809813421,0.0620021868256138,0.0011476131814289,23,194,35.87264531907199
0.625,0.8,30.0209708333935,264415.7902567555,0.0001135369820548,0.0583822783623541,0.0011351551873979,20,167,30.560190307156155
0.625,0.825,26.898388405746772,234453.00845457587,0.0001147282714905,0.0555518281217827,0.0011470381209363,19,147,25.55933846653917
