seed,working_point,qcd_threshold,top_threshold,signal_events_450fb,background_events_450fb,S_over_B,S_over_sqrtB,S_over_10pctB,n_signal_test_rows,n_background_test_rows,neff_signal,neff_background
23,intermediate,0.85,0.75,36.60411273974867,60481.93948364035,0.000605207323909473,0.14883909807340254,0.00605207323909473,60,58,28.913386458065848,28.465155421707653
24,loose_best_sqrtB,0.8,0.5,97.39172289378097,218967.1247410239,0.00044477783141632694,0.2081289967942856,0.0044477783141632695,134,206,79.63861343430344,102.2963781113659
24,nominal_balanced,0.825,0.525,75.16471676004406,149513.52366083715,0.000502728548693367,0.19438994050548233,0.00502728548693367,112,145,62.056210389753254,71.12929413711818
24,higher_purity,0.875,0.75,34.173026199229504,38011.605294199835,0.0008990156015442984,0.17527716253148723,0.008990156015442985,51,37,28.218940208732587,17.304270575525504
24,intermediate,0.85,0.75,37.2193095090809,48511.37354599426,0.0007672285237150169,0.168984365810404,0.0076722852371501685,59,53,30.977386388222314,24.872720686847394
25,loose_best_sqrtB,0.8,0.5,86.5566418008148,221891.1798548178,0.00039008599556525115,0.1837512824163567,0.003900859955652511,128,182,68.6945288711182,99.66878699812068
25,nominal_balanced,0.825,0.525,75.11190156738606,161384.24638840315,0.0004654227611945121,0.18697269486762824,0.004654227611945121,110,137,59.54229132803787,72.0966493410159
25,higher_purity,0.875,0.75,20.29675580598987,42858.16849261402,0.0004735796353380738,0.09804147190422334,0.0047357963533807374,35,35,16.436252518295515,19.29236963340256
25,intermediate,0.85,0.75,26.24923483483815,56612.496252222474,0.00046366503108945077,0.11032158576529584,0.004636650310894507,47,54,21.373705901536624,26.287596803392407
26,loose_best_sqrtB,0.8,0.5,94.01949512380324,260905.92819156527,0.0003603578338579229,0.18406700302669482,0.0036035783385792285,139,217,76.56955020579062,88.20164594880755
26,nominal_balanced,0.825,0.525,81.2922656536811,206655.7769172822,0.0003933704001230018,0.1788238548602895,0.003933704001230018,117,171,65.98911953813814,74.88942977907209
26,higher_purity,0.875,0.75,22.69612186200066,40534.0963001201,0.0005599266773818123,0.11273049322895176,0.005599266773818123,40,40,18.93176954336037,22.283790591143912
26,intermediate,0.85,0.75,33.80814832948168,66138.50854594866,0.000511171918943319,0.1314601690912556,0.00511171918943319,57,62,28.01799586000219,33.51593576690249
27,loose_best_sqrtB,0.8,0.5,79.98263337405085,207721.06239122644,0.0003850482587240469,0.1754912354188725,0.003850482587240469,112,188,64.44316592407733,71.15016273639486
27,nominal_balanced,0.825,0.525,61.22757539782108,141244.68196051745,0.0004334858810113375,0.16291497617933276,0.004334858810113374,92,132,49.751479646407816,43.69175991369574
27,higher_purity,0.875,0.75,22.855698291515353,27470.459141817457,0.0008320100575502507,0.13789913288659525,0.008320100575502505,41,29,19.032689782620853,13.916279131917697
27,intermediate,0.85,0.75,28.550037383624964,44745.92046565601,0.0006380478284168514,0.13496773449177338,0.0063804782841685136,51,51,23.759317049022577,27.096896348163607
28,loose_best_sqrtB,0.8,0.5,91.48789286115394,223160.78881023536,0.00040996401450682545,0.19366657903760526,0.004099640145068254,129,192,75.65147950686577,81.26644948006994
28,nominal_balanced,0.825,0.525,76.8385462392645,185742.97453196472,0.0004136821133228986,0.1782883400363529,0.004136821133228987,110,148,63.65404045246702,62.23211060174823
28,higher_purity,0.875,0.75,27.797372482382734,50819.20920855751,0.0005469855378564587,0.12330758589102475,0.005469855378564588,49,37,23.69318748548527,20.89188989274082
28,intermediate,0.85,0.75,37.11237455516405,72011.96428868141,0.0005153640082138024,0.13829816378058415,0.005153640082138024,61,57,31.307490304004773,30.634969805567
29,loose_best_sqrtB,0.8,0.5,82.15475902586682,270519.1163063215,0.0003036929890486524,0.1579551339245966,0.0030369298904865238,128,240,66.20021961441947,104.24886465517652
29,nominal_balanced,0.825,0.525,70.64169511832694,193670.51855371636,0.00036475192840842107,0.16052007513220737,0.0036475192840842107,108,162,56.7862929664008,67.8099399369675
29,higher_purity,0.875,0.75,26.763399881673088,37350.59329428955,0.0007165455089508547,0.13848174605148755,0.007165455089508547,40,33,21.453650239334124,16.057263900443992
29,intermediate,0.85,0.75,33.8430394441387,51263.37904105865,0.0006601796463130651,0.14947403055511216,0.006601796463130651,51,50,27.156295476941516,25.41785045339032
