seed,tail_region,analysis_sample,rows,expected_events_450fb,fraction_of_tail_background
4,top_0.2pct_background_tail,qcd_bbbb_iht200to400_combined120k,3,4055.1028678726734,0.23242489106816314
4,top_0.2pct_background_tail,qcd_bbbb_iht400to600_20000,3,1835.607246527305,0.10521084870575861
4,top_0.2pct_background_tail,qcd_bbbb_iht600plus_20000,5,571.5813308523167,0.03276112416591765
4,top_0.2pct_background_tail,ttbar_200k,3,10984.647431373598,0.6296031360601606
4,top_0.5pct_background_tail,Zbbbb_100k,5,447.721983973177,0.012093030109466439
4,top_0.5pct_background_tail,qcd_bbbb_iht100to200_20000,0,0.0,0.0
4,top_0.5pct_background_tail,qcd_bbbb_iht200to400_combined120k,13,17572.112427448257,0.4746250849384069
4,top_0.5pct_background_tail,qcd_bbbb_iht400to600_20000,6,3671.2144930546096,0.09915998988666756
4,top_0.5pct_background_tail,qcd_bbbb_iht600plus_20000,6,685.89759702278,0.018526184975773012
4,top_0.5pct_background_tail,ttbar_200k,4,14646.196575164797,0.39559571008968636
4,top_1.0pct_background_tail,Zbbbb_100k,10,895.443967946354,0.0123549952271565
4,top_1.0pct_background_tail,qcd_bbbb_iht100to200_20000,0,0.0,0.0
4,top_1.0pct_background_tail,qcd_bbbb_iht200to400_combined120k,28,37847.626766811634,0.5222071562284204
4,top_1.0pct_background_tail,qcd_bbbb_iht400to600_20000,11,6730.559903933451,0.0928657051316142
4,top_1.0pct_background_tail,qcd_bbbb_iht600plus_20000,12,1371.7951940455596,0.018927508232524606
4,top_1.0pct_background_tail,ttbar_200k,7,25630.844006538395,0.35364463518028444
4,top_2.0pct_background_tail,Zbbbb_100k,26,2328.15431666052,0.014763759571561851
4,top_2.0pct_background_tail,qcd_bbbb_iht100to200_20000,1,13834.457778574151,0.08772984118113118
4,top_2.0pct_background_tail,qcd_bbbb_iht200to400_combined120k,59,79750.35640149591,0.505728971328209
4,top_2.0pct_background_tail,qcd_bbbb_iht400to600_20000,20,12237.381643515366,0.07760214135180526
4,top_2.0pct_background_tail,qcd_bbbb_iht600plus_20000,17,1943.3765248978768,0.012323729387390644
4,top_2.0pct_background_tail,ttbar_200k,13,47600.13886928559,0.3018515571799019
4,top_5.0pct_background_tail,Zbbbb_100k,70,6268.10777562448,0.018118092902125647
4,top_5.0pct_background_tail,qcd_bbbb_iht100to200_20000,1,13834.457778574151,0.0399887813444256
4,top_5.0pct_background_tail,qcd_bbbb_iht200to400_combined120k,162,218975.5548651244,0.6329532912260062
4,top_5.0pct_background_tail,qcd_bbbb_iht400to600_20000,55,33652.799519667264,0.09727410088337146
4,top_5.0pct_background_tail,qcd_bbbb_iht600plus_20000,32,3658.1205174548263,0.010573871693808792
4,top_5.0pct_background_tail,ttbar_200k,19,69569.43373203279,0.20109186195026232
5,top_0.1pct_background_tail,Zbbbb_100k,1,89.4694014874372,0.02552355147090206
5,top_0.1pct_background_tail,qcd_bbbb_iht100to200_20000,0,0.0,0.0
5,top_0.1pct_background_tail,qcd_bbbb_iht200to400_combined120k,1,1352.6425797513286,0.38587765126454415
5,top_0.1pct_background_tail,qcd_bbbb_iht400to600_20000,3,1827.2407595331056,0.5212695379684864
5,top_0.1pct_background_tail,qcd_bbbb_iht600plus_20000,2,236.01372789672732,0.06732925929606713
5,top_0.1pct_background_tail,ttbar_200k,0,0.0,0.0
5,top_0.2pct_background_tail,Zbbbb_100k,1,89.4694014874372,0.008452218021999115
5,top_0.2pct_background_tail,qcd_bbbb_iht100to200_20000,0,0.0,0.0
5,top_0.2pct_background_tail,qcd_bbbb_iht200to400_combined120k,3,4057.927739253986,0.3833544139055035
5,top_0.2pct_background_tail,qcd_bbbb_iht400to600_20000,4,2436.321012710808,0.23016043506115205
5,top_0.2pct_background_tail,qcd_bbbb_iht600plus_20000,5,590.0343197418183,0.055740830138670885
5,top_0.2pct_background_tail,ttbar_200k,1,3411.56386088176,0.3222921028726741
5,top_0.5pct_background_tail,Zbbbb_100k,4,357.8776059497488,0.013755751652558068
5,top_0.5pct_background_tail,qcd_bbbb_iht100to200_20000,0,0.0,0.0
5,top_0.5pct_background_tail,qcd_bbbb_iht200to400_combined120k,9,12173.783217761958,0.4679240495397929
5,top_0.5pct_background_tail,qcd_bbbb_iht400to600_20000,9,5481.722278599317,0.21070111412138742
5,top_0.5pct_background_tail,qcd_bbbb_iht600plus_20000,10,1180.0686394836366,0.04535833164142798
5,top_0.5pct_background_tail,ttbar_200k,2,6823.12772176352,0.2622607530448335
5,top_1.0pct_background_tail,Zbbbb_100k,7,626.2858104120603,0.010137204192807177
5,top_1.0pct_background_tail,qcd_bbbb_iht100to200_20000,0,0.0,0.0
5,top_1.0pct_background_tail,qcd_bbbb_iht200to400_combined120k,24,32463.42191403189,0.52546031104117
5,top_1.0pct_background_tail,qcd_bbbb_iht400to600_20000,16,9745.284050843233,0.1577393782485776
5,top_1.0pct_background_tail,qcd_bbbb_iht600plus_20000,16,1888.1098231738188,0.03056137389311906
5,top_1.0pct_background_tail,ttbar_200k,5,17057.8193044088,0.27610173262432613
5,top_2.0pct_background_tail,Zbbbb_100k,19,1699.9186282613066,0.013049287459711512
5,top_2.0pct_background_tail,qcd_bbbb_iht100to200_20000,0,0.0,0.0
5,top_2.0pct_background_tail,qcd_bbbb_iht200to400_combined120k,59,79805.91220532836,0.6126236115295671
5,top_2.0pct_background_tail,qcd_bbbb_iht400to600_20000,25,15227.006329442547,0.11688887893826799
5,top_2.0pct_background_tail,qcd_bbbb_iht600plus_20000,24,2832.164734760728,0.02174088285328756
5,top_2.0pct_background_tail,ttbar_200k,9,30704.07474793584,0.23569733921916572
5,top_5.0pct_background_tail,Zbbbb_100k,67,5994.449899658292,0.016713174487124016
5,top_5.0pct_background_tail,qcd_bbbb_iht100to200_20000,3,35244.928150177,0.09826667064039284
5,top_5.0pct_background_tail,qcd_bbbb_iht200to400_combined120k,164,221833.3830792179,0.6184954583878226
5,top_5.0pct_background_tail,qcd_bbbb_iht400to600_20000,42,25581.37063346348,0.07132362738426377
5,top_5.0pct_background_tail,qcd_bbbb_iht600plus_20000,44,5192.302013728,0.01447669944663784
5,top_5.0pct_background_tail,ttbar_200k,19,64819.71335675344,0.18072436965375893
6,top_0.1pct_background_tail,Zbbbb_100k,0,0.0,0.0
6,top_0.1pct_background_tail,qcd_bbbb_iht100to200_20000,0,0.0,0.0
6,top_0.1pct_background_tail,qcd_bbbb_iht200to400_combined120k,2,2750.3093813499045,0.4223068997347449
6,top_0.1pct_background_tail,qcd_bbbb_iht400to600_20000,0,0.0,0.0
6,top_0.1pct_background_tail,qcd_bbbb_iht600plus_20000,4,456.9078263500706,0.0701576807754382
6,top_0.1pct_background_tail,ttbar_200k,1,3305.367320465207,0.507535419489817
6,top_0.2pct_background_tail,Zbbbb_100k,0,0.0,0.0
6,top_0.2pct_background_tail,qcd_bbbb_iht100to200_20000,0,0.0,0.0
6,top_0.2pct_background_tail,qcd_bbbb_iht200to400_combined120k,3,4125.464072024857,0.3221494751923189
6,top_0.2pct_background_tail,qcd_bbbb_iht400to600_20000,2,1270.2681325778308,0.09919277082993089
6,top_0.2pct_background_tail,qcd_bbbb_iht600plus_20000,7,799.5886961126236,0.06243832798572005
6,top_0.2pct_background_tail,ttbar_200k,2,6610.734640930414,0.5162194259920302
6,top_0.5pct_background_tail,Zbbbb_100k,4,340.2116731719745,0.011672712318713856
6,top_0.5pct_background_tail,qcd_bbbb_iht100to200_20000,0,0.0,0.0
6,top_0.5pct_background_tail,qcd_bbbb_iht200to400_combined120k,13,17877.01097877438,0.613362864149108
6,top_0.5pct_background_tail,qcd_bbbb_iht400to600_20000,5,3175.6703314445767,0.10895771403848707
6,top_0.5pct_background_tail,qcd_bbbb_iht600plus_20000,10,1142.2695658751766,0.03919143605088228
6,top_0.5pct_background_tail,ttbar_200k,2,6610.734640930414,0.2268152734428087
6,top_1.0pct_background_tail,Zbbbb_100k,9,765.4762646369426,0.01410737294852662
6,top_1.0pct_background_tail,qcd_bbbb_iht100to200_20000,0,0.0,0.0
6,top_1.0pct_background_tail,qcd_bbbb_iht200to400_combined120k,22,30253.40319484896,0.5575562059188157
6,top_1.0pct_background_tail,qcd_bbbb_iht400to600_20000,12,7621.608795466984,0.14046271937173588
6,top_1.0pct_background_tail,qcd_bbbb_iht600plus_20000,21,2398.7660883378708,0.04420814777387094
6,top_1.0pct_background_tail,ttbar_200k,4,13221.469281860827,0.24366555398705106
6,top_2.0pct_background_tail,Zbbbb_100k,21,1786.111284152866,0.014257965426425125
6,top_2.0pct_background_tail,qcd_bbbb_iht100to200_20000,0,0.0,0.0
6,top_2.0pct_background_tail,qcd_bbbb_iht200to400_combined120k,51,70132.88922442257,0.5598488283955875
6,top_2.0pct_background_tail,qcd_bbbb_iht400to600_20000,21,13337.815392067228,0.1064715913344286
6,top_2.0pct_background_tail,qcd_bbbb_iht600plus_20000,32,3655.2626108005647,0.02917881343211896
6,top_2.0pct_background_tail,ttbar_200k,11,36359.04052511728,0.2902428014114399
6,top_5.0pct_background_tail,Zbbbb_100k,76,6464.021790267517,0.021236418723396343
6,top_5.0pct_background_tail,qcd_bbbb_iht100to200_20000,0,0.0,0.0
6,top_5.0pct_background_tail,qcd_bbbb_iht200to400_combined120k,142,195271.9660758432,0.6415320633310909
6,top_5.0pct_background_tail,qcd_bbbb_iht400to600_20000,48,30486.43518186793,0.1001578775431441
6,top_5.0pct_background_tail,qcd_bbbb_iht600plus_20000,53,6054.028699138436,0.01988945776945494
6,top_5.0pct_background_tail,ttbar_200k,20,66107.34640930414,0.21718418263291375
7,top_0.1pct_background_tail,Zbbbb_100k,0,0.0,0.0
7,top_0.1pct_background_tail,qcd_bbbb_iht100to200_20000,0,0.0,0.0
7,top_0.1pct_background_tail,qcd_bbbb_iht200to400_combined120k,2,2726.1753923945694,0.25524463561944
7,top_0.1pct_background_tail,qcd_bbbb_iht400to600_20000,2,1228.2372017204762,0.11499662049697257
