variant	category	feature_order	feature	feature_origin	explicit_dijet_mass_plane_feature	mhh_retained	training_in_this_gate	status
high_mhh_cms_inspired_mass_aware	high_mhh	49	cos_theta_j1_in_h1_rest	cms_inspired_derived	false	false	false	pass
high_mhh_cms_inspired_mass_aware	high_mhh	50	abs_cos_theta_j1_in_h1_rest	cms_inspired_derived	false	false	false	pass
high_mhh_cms_inspired_mass_aware	high_mhh	51	cos_theta_j_h2_leading_in_h2_rest	cms_inspired_derived	false	false	false	pass
high_mhh_cms_inspired_mass_aware	high_mhh	52	abs_cos_theta_j_h2_leading_in_h2_rest	cms_inspired_derived	false	false	false	pass
categorized_explicit_dijet_mass_plane_blind	all_train_reference_or_both_categories	1	n_selected_jets	frozen_bdt_v1	false	false	false	pass
categorized_explicit_dijet_mass_plane_blind	all_train_reference_or_both_categories	2	n_selected_bjets	frozen_bdt_v1	false	false	false	pass
categorized_explicit_dijet_mass_plane_blind	all_train_reference_or_both_categories	3	ht_selected_jets	frozen_bdt_v1	false	false	false	pass
categorized_explicit_dijet_mass_plane_blind	all_train_reference_or_both_categories	4	ht_selected_bjets	frozen_bdt_v1	false	false	false	pass
categorized_explicit_dijet_mass_plane_blind	all_train_reference_or_both_categories	5	ht_candidate_jets	frozen_bdt_v1	false	false	false	pass
categorized_explicit_dijet_mass_plane_blind	all_train_reference_or_both_categories	6	mhh	frozen_bdt_v1	false	true	false	pass
categorized_explicit_dijet_mass_plane_blind	all_train_reference_or_both_categories	7	hh_pt	frozen_bdt_v1	false	false	false	pass
categorized_explicit_dijet_mass_plane_blind	all_train_reference_or_both_categories	8	abs_hh_eta	frozen_bdt_v1	false	false	false	pass
categorized_explicit_dijet_mass_plane_blind	all_train_reference_or_both_categories	9	h1_pt	frozen_bdt_v1	false	false	false	pass
categorized_explicit_dijet_mass_plane_blind	all_train_reference_or_both_categories	10	abs_h1_eta	frozen_bdt_v1	false	false	false	pass
categorized_explicit_dijet_mass_plane_blind	all_train_reference_or_both_categories	11	h2_pt	frozen_bdt_v1	false	false	false	pass
categorized_explicit_dijet_mass_plane_blind	all_train_reference_or_both_categories	12	abs_h2_eta	frozen_bdt_v1	false	false	false	pass
categorized_explicit_dijet_mass_plane_blind	all_train_reference_or_both_categories	13	abs_h_delta_eta	frozen_bdt_v1	false	false	false	pass
categorized_explicit_dijet_mass_plane_blind	all_train_reference_or_both_categories	14	abs_h_delta_phi	frozen_bdt_v1	false	false	false	pass
categorized_explicit_dijet_mass_plane_blind	all_train_reference_or_both_categories	15	h_delta_r	frozen_bdt_v1	false	false	false	pass
categorized_explicit_dijet_mass_plane_blind	all_train_reference_or_both_categories	16	h_pt_balance	frozen_bdt_v1	false	false	false	pass
categorized_explicit_dijet_mass_plane_blind	all_train_reference_or_both_categories	17	drbb1	frozen_bdt_v1	false	false	false	pass
