variable	category	bin_low	bin_high	central_value	uncertainty_central	uncertainty_lower_68	uncertainty_upper_68	uncertainty_valid_replicas	uncertainty_support_flag	uncertainty_kind	variant
r_hh_125_120	0	8.0	16.0	0.0075864543075069265	0.0073261547460960145	0.001725260989393188	0.013494975704659476	1000	True	source_member_bootstrap_unit_shape_p16_p84	mass_aware
r_hh_125_120	0	16.0	24.0	0.020099382691103663	0.019252250695082684	0.010518665564241437	0.029539514895685026	1000	True	source_member_bootstrap_unit_shape_p16_p84	mass_aware
r_hh_125_120	0	24.0	32.0	0.08049301953092473	0.07777728016973703	0.0557707480549474	0.10709981235799522	1000	True	source_member_bootstrap_unit_shape_p16_p84	mass_aware
r_hh_125_120	0	32.0	40.0	0.09538753339036792	0.09486923737688405	0.06882311854449137	0.12272494065032208	1000	True	source_member_bootstrap_unit_shape_p16_p84	mass_aware
r_hh_125_120	0	40.0	48.0	0.1166235268060906	0.11401999277972555	0.08864428518979589	0.14065428351189743	1000	True	source_member_bootstrap_unit_shape_p16_p84	mass_aware
r_hh_125_120	0	48.0	56.0	0.1689373556673622	0.16698775515757436	0.13373921628183272	0.2061651477347121	1000	True	source_member_bootstrap_unit_shape_p16_p84	mass_aware
r_hh_125_120	0	56.0	64.0	0.08576689072918461	0.0834175522070883	0.059516125395868716	0.11122635247964462	1000	True	source_member_bootstrap_unit_shape_p16_p84	mass_aware
r_hh_125_120	0	64.0	72.0	0.057869125404505374	0.055635744660937854	0.03810664387921554	0.07544616131591989	1000	True	source_member_bootstrap_unit_shape_p16_p84	mass_aware
r_hh_125_120	0	72.0	80.0	0.09191040035855524	0.09161726172016858	0.07320966760846101	0.11287208494707292	1000	True	source_member_bootstrap_unit_shape_p16_p84	mass_aware
r_hh_125_120	0	80.0	88.0	0.06752661656273073	0.06565151211164459	0.05044691272169966	0.08256582455812032	1000	True	source_member_bootstrap_unit_shape_p16_p84	mass_aware
r_hh_125_120	0	88.0	96.0	0.06567042630065745	0.06292077948414163	0.044581729176107414	0.0863173492495057	1000	True	source_member_bootstrap_unit_shape_p16_p84	mass_aware
r_hh_125_120	0	96.0	104.0	0.02776447647606795	0.027655354579653724	0.018228110083635098	0.037587074136219645	1000	True	source_member_bootstrap_unit_shape_p16_p84	mass_aware
r_hh_125_120	0	104.0	112.0	0.009305371141567619	0.008581260821547466	0.0031318634656592177	0.015522591283104221	1000	True	source_member_bootstrap_unit_shape_p16_p84	mass_aware
r_hh_125_120	0	112.0	120.0	0.031091396128843787	0.03112942322491155	0.021394503145173795	0.041980458465135206	1000	True	source_member_bootstrap_unit_shape_p16_p84	mass_aware
r_hh_125_120	0	120.0	128.0	0.014524934643898566	0.013762548658468123	0.007192212949793281	0.022786988076576944	1000	True	source_member_bootstrap_unit_shape_p16_p84	mass_aware
r_hh_125_120	0	128.0	136.0	0.01763036281359922	0.017149841077985187	0.009029492350465644	0.025127915612212382	1000	True	source_member_bootstrap_unit_shape_p16_p84	mass_aware
r_hh_125_120	0	136.0	144.0	0.021380179971743636	0.02075315639482858	0.012772786933105396	0.030584011552423386	1000	True	source_member_bootstrap_unit_shape_p16_p84	mass_aware
r_hh_125_120	0	144.0	152.0	0.006738311338562483	0.006105549958595906	0.002558113823545026	0.010993774439735742	1000	True	source_member_bootstrap_unit_shape_p16_p84	mass_aware
r_hh_125_120	0	152.0	160.0	0.013216109580558136	0.01276111875747735	0.007396151954690811	0.019113391630616285	1000	True	source_member_bootstrap_unit_shape_p16_p84	mass_aware
r_hh_125_120	5	0.0	8.0	0.08090181511862797	0.07494338085059576	0.010152036229671374	0.15231611400850495	1000	True	source_member_bootstrap_unit_shape_p16_p84	mass_aware
