sample_class	process_or_mode	campaign	source_type	representative_locator	representative_exists	representative_size_bytes	metadata_access_method	event_payload_opened	bundle_downloaded	bundle_content_indexed	status	diagnostic
background	tw_antitop	unified_background_5m_single_top_scaleout280k_20260722_v1	eos_bundle	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_single_top_scaleout280k_20260722_v1/tw_antitop_run2_frozen_v2_single_top_scaleout_shard4323_10kevt_bundle.tar.gz	True	852990950	xrdfs_stat_only	False	False	False	representative_bundle_stat_pass	none
background	tw_top	unified_background_5m_single_top_pilot50k_20260722_v1	eos_bundle	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_single_top_pilot50k_20260722_v1/tw_top_run2_frozen_v2_single_top_pilot_shard4204_10kevt_bundle.tar.gz	True	847823885	xrdfs_stat_only	False	False	False	representative_bundle_stat_pass	none
background	tw_top	unified_background_5m_single_top_scaleout280k_20260722_v1	eos_bundle	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_single_top_scaleout280k_20260722_v1/tw_top_run2_frozen_v2_single_top_scaleout_shard4317_10kevt_bundle.tar.gz	True	843393738	xrdfs_stat_only	False	False	False	representative_bundle_stat_pass	none
background	vbf_hbb	unified_background_5m_waveb_priority_pilots10k_20260721_v1	eos_bundle	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_waveb_priority_pilots10k_20260721_v1/vbf_hbb_run2_frozen_v2_waveb_pilot_shard1004_10000evt_bundle.tar.gz	True	791038433	xrdfs_stat_only	False	False	False	representative_bundle_stat_pass	none
background	vbf_hbb	unified_background_5m_waveb_priority_scale400k_20260721_v1	eos_bundle	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_waveb_priority_scale400k_20260721_v1/vbf_hbb_run2_frozen_v2_waveb_scale400k_shard2302_10000evt_bundle.tar.gz	True	794296132	xrdfs_stat_only	False	False	False	representative_bundle_stat_pass	none
background	wh_hbb	unified_background_5m_wavec1_pilot40k_20260721_v1	eos_bundle	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavec1_pilot40k_20260721_v1/wh_hbb_run2_frozen_v2_wavec1_pilot_shard3201_10kevt_bundle.tar.gz	True	773016067	xrdfs_stat_only	False	False	False	representative_bundle_stat_pass	none
background	wh_hbb	unified_background_5m_wavec1_scaleout180k_20260721_v2	eos_bundle	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavec1_scaleout180k_20260721_v2/wh_hbb_run2_frozen_v2_wavec1_scaleout_shard3301_10kevt_bundle.tar.gz	True	772629511	xrdfs_stat_only	False	False	False	representative_bundle_stat_pass	none
background	ww	unified_background_5m_wavec1_pilot40k_20260721_v1	eos_bundle	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavec1_pilot40k_20260721_v1/ww_run2_frozen_v2_wavec1_pilot_shard3204_10kevt_bundle.tar.gz	True	719774097	xrdfs_stat_only	False	False	False	representative_bundle_stat_pass	none
background	ww	unified_background_5m_wavec1_scaleout180k_20260721_v2	eos_bundle	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavec1_scaleout180k_20260721_v2/ww_run2_frozen_v2_wavec1_scaleout_shard3601_10kevt_bundle.tar.gz	True	721126187	xrdfs_stat_only	False	False	False	representative_bundle_stat_pass	none
background	wwz_zbb	final_background_triboson_zbb_pilot10k_20260722_v1	eos_bundle	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/final_background_triboson_zbb_pilot10k_20260722_v1/wwz_zbb_run2_frozen_v2_pilot_validation_shard9601_5200_bundle.tar.gz	True	474353085	xrdfs_stat_only	False	False	False	representative_bundle_stat_pass	none
